beam,syst,chi2_shape_up,chi2_shape_down,chi2_raw_up,chi2_raw_down,dmean_up,dmean_down,rate_change_pct_up,rate_change_pct_down,dvar_up,dvar_down,ks_pct_up,ks_pct_down,asymmetry_pct
FHC,DISNuHadronQ1Syst,48.8181,48.0787,49.4974,49.4974,-0.0350061,0.03474,-0.381537,0.381537,-0.0847797,0.0817122,1.14416,1.13546,0
FHC,DISvnCC1pi_2020,23.4485,26.672,99.8058,99.8058,0.0247532,-0.0263998,3.21904,-3.21904,0.0613633,-0.0667957,0.755386,0.805636,0
FHC,DISvnCC2pi_2020,0.959911,1.014,14.544,14.544,0.00339656,-0.00349093,1.37024,-1.37024,0.00270492,-0.00280412,0.170213,0.174943,0
FHC,DISvpCC1pi_2020,0.749338,0.771158,4.47791,4.47791,-0.00389106,0.0039473,0.717545,-0.717545,-0.00750358,0.0075811,0.153934,0.156159,0
FHC,DISvpCC2pi_2020,0.604882,0.644347,18.6498,18.6498,0.000931856,-0.000961775,1.57998,-1.57998,-0.00475434,0.00490517,0.103678,0.107007,0
FHC,DISvnCC3pi_2020,0.265366,0.272949,3.85189,3.85189,0.00224149,-0.00227329,0.704396,-0.704396,0.00402574,-0.00409312,0.0837995,0.0849884,0
FHC,DISvnNC1pi_2020,0.249701,0.25473,2.04625,2.04625,-0.00141805,0.00143226,0.498454,-0.498454,0.00012191,-0.000127214,0.0837854,0.0846248,0
FHC,DISvpNC3pi_2020,0.176928,0.181438,3.03792,3.03792,0.00209238,-0.00211887,0.629211,-0.629211,0.00625275,-0.00634085,0.056869,0.0575891,0
FHC,DISvpNC1pi_2020,0.175152,0.176717,0.533041,0.533041,0.00192056,-0.00192912,0.222386,-0.222386,0.00612514,-0.00615987,0.0475784,0.0477904,0
FHC,DISvpNC2pi_2020,0.0908902,0.0928067,2.0568,2.0568,0.00139412,-0.00140874,0.521656,-0.521656,0.0026997,-0.00273196,0.0507702,0.0513027,0
FHC,DISvnNC2pi_2020,0.0903772,0.0914837,0.759139,0.759139,0.00116066,-0.00116774,0.304203,-0.304203,0.00180747,-0.00182122,0.048272,0.0485666,0
FHC,DISvpCC3pi_2020,0.0824919,0.0862096,8.85343,8.85343,0.000580584,-0.000593522,1.10201,-1.10201,-0.000802013,0.00081919,0.0419815,0.0429171,0
FHC,DISvnNC3pi_2020,0.0711191,0.0721621,1.02833,1.02833,0.00119433,-0.00120306,0.363992,-0.363992,0.002493,-0.0025141,0.0419085,0.0422147,0
FHC,DISvnCC0pi_2020,0.0581644,0.0584671,0.179929,0.179929,-0.000985402,0.000987963,0.129777,-0.129777,-0.00156098,0.00156309,0.0434049,0.0435177,0
FHC,DISNuBarHadronQ0Syst,0.0259791,0.0260086,0.0318139,0.0318139,-0.000529159,0.00052946,0.0283902,-0.0283902,-0.000685099,0.000684927,0.0266338,0.0266489,0
FHC,BhtBY,0.0143326,0.0145878,0.390286,0.424582,-0.000525384,0.000534969,-0.228198,0.238264,-0.00195824,0.00199857,0.0110263,0.0112698,0.0100664
FHC,DISvbarpNC1pi_2020,0.0122499,0.0122651,0.0191321,0.0191321,0.000392419,-0.000392661,0.0308555,-0.0308555,0.00153075,-0.00153201,0.00878454,0.00878996,0
FHC,CV1uBY,0.00787745,0.00944128,0.105818,0.127077,-0.000424408,0.000465159,-0.116474,0.127624,-0.00143431,0.00156628,0.00972497,0.0106874,0.0111494
FHC,AhtBY,0.00698221,0.00767782,0.150562,0.155307,0.000361922,-0.000377395,0.141002,-0.142997,0.00140447,-0.00146465,0.00758848,0.00784421,0.00199501
FHC,CV2uBY,0.00720149,0.00723366,0.0968731,0.0968731,0.000406298,-0.000407204,0.111428,-0.111428,0.00136767,-0.00137105,0.00933737,0.0093582,5.86075e-09
FHC,DISvbarnCC1pi_2020,0.00547172,0.00547627,0.00858999,0.00858999,0.000303224,-0.00030335,0.0207733,-0.0207733,0.00074346,-0.000743953,0.0101611,0.0101653,0
FHC,DISvbarnCC2pi_2020,0.00389436,0.00389825,0.00838334,0.00838334,0.00019217,-0.000192266,0.024928,-0.024928,0.000687726,-0.000688142,0.00582391,0.00582681,0
FHC,DISvbarpCC1pi_2020,0.00261809,0.00262665,0.0507781,0.0507781,-9.82205e-05,9.83811e-05,0.0816642,-0.0816642,-0.000124199,0.000124383,0.00428039,0.00428739,0
