beam,syst,chi2_shape_up,chi2_shape_down,chi2_raw_up,chi2_raw_down,dmean_up,dmean_down,rate_change_pct_up,rate_change_pct_down,dvar_up,dvar_down,ks_pct_up,ks_pct_down,asymmetry_pct
FHC,DISNuHadronQ1Syst,184.182,164.226,206.221,206.221,0.0610345,-0.0576332,-2.86626,2.86626,-0.123023,0.109328,2.12187,2.00363,0
FHC,DISvnCC1pi_2020,137.697,166.546,240.27,240.27,-0.051801,0.0569695,4.7518,-4.7518,0.0809069,-0.0951762,1.7806,1.95826,0
FHC,DISvpCC2pi_2020,15.8554,17.0398,29.2406,29.2406,0.0264275,-0.0273968,1.80091,-1.80091,0.0030726,-0.00465991,0.751085,0.778634,0
FHC,DISvnCC2pi_2020,15.5083,16.6416,28.336,28.336,0.0259533,-0.0268848,1.76305,-1.76305,0.00239303,-0.00389947,0.770029,0.797669,0
FHC,DISvpCC3pi_2020,6.01588,6.32494,12.3623,12.3623,0.0178556,-0.0183085,1.25241,-1.25241,-0.00152785,0.0009045,0.553627,0.567671,0
FHC,DISvpNC3pi_2020,3.98443,4.11236,6.51281,6.51281,0.0125925,-0.0127931,0.790056,-0.790056,0.00330508,-0.00368249,0.354201,0.359843,2.30287e-15
FHC,DISvnCC3pi_2020,3.67402,3.81827,7.40536,7.40536,0.0137205,-0.0139873,0.962698,-0.962698,-0.00108219,0.000715671,0.430863,0.439239,0
FHC,DISvpNC2pi_2020,3.07728,3.15237,4.54925,4.54925,0.00987905,-0.00999886,0.602733,-0.602733,0.00390894,-0.0041551,0.268206,0.271459,0
FHC,DISvpNC1pi_2020,1.37137,1.3878,1.72972,1.72972,-0.00544408,0.00547659,0.297764,-0.297764,0.00951762,-0.00963428,0.183045,0.184138,0
FHC,DISvnNC2pi_2020,1.29552,1.31563,1.89134,1.89134,0.00639726,-0.00644673,0.385139,-0.385139,0.0027686,-0.00287281,0.170841,0.172162,0
FHC,DISvnNC3pi_2020,1.17583,1.19823,2.06579,2.06579,0.00726364,-0.00733249,0.471725,-0.471725,0.00108002,-0.00119728,0.212156,0.214167,0
FHC,BhtBY,0.234018,0.25398,0.47102,0.514177,-0.00205704,0.00212847,-0.245561,0.256033,-0.00268541,0.0028126,0.0678673,0.0705138,0.0104719
FHC,DISvpCC1pi_2020,0.147175,0.148932,0.495562,0.495562,0.00116437,-0.0011713,0.296633,-0.296633,-0.00459587,0.00462048,0.0508432,0.0511458,0
FHC,DISvnNC1pi_2020,0.110598,0.111773,0.387134,0.387134,-0.000523134,0.000525907,0.264333,-0.264333,0.000589646,-0.000593323,0.0316618,0.0318296,0
FHC,AhtBY,0.0867716,0.0892157,0.173573,0.178356,0.00110352,-0.00112302,0.148031,-0.150461,0.001824,-0.00184687,0.0378444,0.0382989,0.00243003
FHC,CV1uBY,0.0607565,0.072201,0.136487,0.163653,-0.000938857,0.00101093,-0.138628,0.151988,-0.00140545,0.00154132,0.0339237,0.0367296,0.0133599
FHC,CV2uBY,0.0550389,0.0553319,0.12474,0.12474,0.000881635,-0.000883978,0.132709,-0.132709,0.00134674,-0.00135187,0.0320482,0.0321334,6.64051e-09
FHC,DISvbarpNC1pi_2020,0.0360468,0.0361136,0.0445413,0.0445413,-0.000927266,0.000928125,0.0462858,-0.0462858,0.0015818,-0.00158499,0.0298059,0.0298335,0
FHC,DISNuBarHadronQ0Syst,0.034146,0.034108,0.0371908,0.0371908,0.00095152,-0.00095099,-0.0278523,0.0278523,-0.00115832,0.00115587,0.0265779,0.0265631,0
FHC,DISvnCC0pi_2020,0.0277225,0.0277435,0.0291519,0.0291519,-0.000460577,0.000460751,0.0189542,-0.0189542,0.00131036,-0.00131128,0.0101007,0.0101045,0
FHC,DISvbarpCC2pi_2020,0.0272196,0.0272725,0.0365736,0.0365736,0.000882577,-0.000883436,0.0485981,-0.0485981,0.000528652,-0.000530727,0.0245818,0.0246057,0
FHC,DISvbarnCC1pi_2020,0.0132538,0.0132733,0.0185871,0.0185871,-0.000492986,0.000493348,0.0367144,-0.0367144,0.000973783,-0.000974984,0.0177544,0.0177674,0
FHC,DISvnNC0pi_2020,0.010439,0.0104433,0.0108463,0.0108463,-0.000335519,0.000335587,0.0101281,-0.0101281,0.00117394,-0.0011744,0.00617892,0.00618017,0
FHC,DISvbarnCC2pi_2020,0.00857803,0.00859064,0.0139079,0.0139079,0.000544765,-0.000545165,0.0367144,-0.0367144,0.000153083,-0.000153789,0.0140528,0.0140631,0
FHC,DISvbarpCC3pi_2020,0.00691811,0.0069268,0.0108165,0.0108165,0.000524996,-0.000525325,0.0314002,-0.0314002,0.000179066,-0.00017973,0.0158075,0.0158174,0
FHC,DISvbarnNC2pi_2020,0.00677652,0.00678538,0.0109887,0.0109887,0.00051667,-0.000517008,0.0326405,-0.0326405,0.000129486,-0.000130105,0.0147443,0.014754,0
FHC,AGKYxF1pi,0.00371439,0.00523615,0.00494665,0.00631186,0.000252995,-0.0003181,-0.0176733,0.0164905,-0.000315468,0.000607738,0.00809014,0.011271,0.013058
FHC,DISvbarnCC3pi_2020,0.00480356,0.00480991,0.00912153,0.00912153,0.000492015,-0.000492341,0.0330533,-0.0330533,9.05704e-06,-9.54767e-06,0.0149307,0.0149406,0
FHC,DISvbarnNC3pi_2020,0.00414775,0.0041533,0.00857307,0.00857307,0.000456639,-0.000456945,0.0334634,-0.0334634,-8.94539e-05,8.90963e-05,0.0151159,0.0151261,0
FHC,DISvbarpCC1pi_2020,0.00385456,0.00386511,0.0222747,0.0222747,-0.000332785,0.00033324,0.0682839,-0.0682839,0.000150443,-0.00015087,0.00821045,0.00822167,0
FHC,DISvbarpNC3pi_2020,0.00239065,0.002393,0.00478351,0.00478351,0.000338455,-0.000338622,0.0246086,-0.0246086,-5.10069e-05,5.08028e-05,0.011117,0.0111225,0
