beam,syst,chi2_shape_up,chi2_shape_down,chi2_raw_up,chi2_raw_down,dmean_up,dmean_down,rate_change_pct_up,rate_change_pct_down,dvar_up,dvar_down,ks_pct_up,ks_pct_down,asymmetry_pct
FHC,hNFSI_MFP_2024,75.7606,179.5,77.2509,182.879,-0.0554878,0.0858351,0.452569,0.576501,-0.0889984,0.134365,1.8344,2.78817,1.64274
FHC,FormZone2024,43.7973,77.3027,47.9181,86.3065,-0.0415607,0.0560215,0.919122,1.32989,-0.0578249,0.0771071,1.35501,1.71833,2.24901
FHC,hNFSI_FateFracEV1_2024,0.624001,12.2308,6.15379,14.1529,0.00417906,-0.0223898,1.18602,-0.731953,0.0040058,-0.0356554,0.138542,0.697337,1.32459
FHC,hNFSI_FateFracEV2_2024,8.24004,0.126147,9.15438,2.1237,-0.0179448,-8.0053e-05,-0.504342,0.713471,-0.0249635,-0.000267389,0.582361,0.0222605,1.20505
FHC,hNFSI_FateFracEV3_2024,5.4631,1.51718,5.73953,1.62244,-0.0141866,-0.00773076,-0.279811,0.160025,-0.0206401,-0.0128836,0.45466,0.228089,1.31358
RHC,hNFSI_MFP_2024,24.8997,53.2547,27.7464,53.9395,-0.0476945,0.0700682,1.1624,-1.02929,-0.101164,0.149843,1.50475,2.07307,0.990465
RHC,FormZone2024,5.81761,13.3544,6.03956,14.4639,-0.0231088,0.0353941,0.330804,0.737587,-0.0441273,0.0702296,0.707282,1.06331,1.06839
RHC,hNFSI_FateFracEV1_2024,0.146764,1.189,0.424733,1.62264,-0.00200474,-0.00887617,0.406386,-0.515805,-0.00635264,-0.0214952,0.0817934,0.260325,0.625891
RHC,hNFSI_FateFracEV2_2024,0.657647,0.11156,0.67241,0.111734,-0.00495898,-0.00246822,-0.0978611,0.00954741,-0.00792112,-0.00332117,0.197772,0.0815412,0.541755
RHC,hNFSI_FateFracEV3_2024,0.559319,0.246263,0.5612,0.319063,-0.00673805,-0.00421623,-0.0370087,0.206956,-0.0148944,-0.01125,0.208416,0.135358,0.775437
