beam,syst,chi2_shape_up,chi2_shape_down,chi2_raw_up,chi2_raw_down,dmean_up,dmean_down,rate_change_pct_up,rate_change_pct_down,dvar_up,dvar_down,ks_pct_up,ks_pct_down,asymmetry_pct
FHC,hNFSI_FateFracEV1_2024,0.224445,2.98687,4.60372,18.8409,0.00059321,0.236567,1.5278,-2.92498,-0.540306,2.35804,0.0332326,0.431255,1.53295
FHC,hNFSI_MFP_2024,0.662426,1.89132,35.4438,122.527,0.00469634,0.0112921,-4.31251,8.01452,1.15949,-2.85897,0.0783156,0.187036,3.70201
FHC,hNFSI_FateFracEV3_2024,1.83656,0.613496,7.69898,0.859162,0.191216,0.107621,-1.77882,-0.365427,2.35014,0.752743,0.354808,0.192211,2.25923
FHC,hNFSI_FateFracEV2_2024,1.8038,0.375068,12.7111,1.39636,0.170548,0.0175287,-2.42259,0.736378,1.74423,0.692154,0.318968,0.0691792,1.7514
FHC,FormZone2024,0.42648,0.951397,7.48367,54.4885,0.0413212,0.0265372,-1.94325,5.34087,0.939694,0.0599868,0.102779,0.076936,3.39762
RHC,hNFSI_FateFracEV1_2024,0.223339,1.99929,0.224974,2.46807,-0.0488633,0.283184,0.0396517,-0.732892,-0.740483,4.1526,0.0952068,0.514994,1.21026
RHC,hNFSI_MFP_2024,0.860108,1.39059,8.3374,21.2226,-0.108201,-0.0519341,-2.8491,4.60977,-1.72594,-0.365682,0.210934,0.153626,1.85572
RHC,hNFSI_FateFracEV2_2024,0.999706,0.410761,1.01204,0.435146,0.200883,0.0754239,-0.126623,-0.16667,1.69053,1.33894,0.353102,0.154063,1.27109
RHC,hNFSI_FateFracEV3_2024,0.880178,0.358507,1.00548,0.366808,0.207513,0.0983755,-0.377226,0.0908319,2.23901,0.562072,0.367524,0.175356,1.30071
RHC,FormZone2024,0.316133,0.672363,1.27907,8.84762,0.0379396,0.0656384,-1.02254,2.96218,0.33177,0.452061,0.0876478,0.138345,1.93964
