beam,syst,chi2_shape_up,chi2_shape_down,chi2_raw_up,chi2_raw_down,dmean_up,dmean_down,rate_change_pct_up,rate_change_pct_down,dvar_up,dvar_down,ks_pct_up,ks_pct_down,asymmetry_pct
FHC,hNFSI_MFP_2024,9.66106,22.2057,32.5023,112.277,0.0116615,-0.0178305,-2.50598,4.8642,0.0100409,-0.0154167,0.635654,0.995,2.35821
FHC,FormZone2024,6.61632,9.72693,6.68991,67.3853,0.00984226,-0.0115499,-0.1597,3.91388,0.00762002,-0.0105728,0.580106,0.611576,3.75418
FHC,hNFSI_FateFracEV1_2024,0.0771179,5.06842,5.17723,5.37077,-0.000975815,0.00843263,1.17174,-0.299303,-0.000523902,0.00543323,0.0696221,0.552387,0.87244
FHC,hNFSI_FateFracEV2_2024,3.58445,0.104195,4.35781,4.41828,0.0071699,0.00116829,-0.466096,1.07758,0.00486755,0.000678883,0.457729,0.0806471,0.916712
FHC,hNFSI_FateFracEV3_2024,1.96197,0.576024,1.97788,1.38421,0.00521062,0.00290514,-0.0709544,0.464973,0.00328658,0.00217683,0.3457,0.175856,0.942762
RHC,hNFSI_MFP_2024,0.562494,2.63395,9.97669,20.2923,0.00373164,-0.00858258,-2.31496,3.15102,0.00371035,-0.00748906,0.190944,0.496672,1.01395
RHC,hNFSI_FateFracEV1_2024,0.0675047,1.78025,0.180769,3.74133,-0.00132736,0.00686778,-0.253957,1.04502,-0.000815714,0.00426832,0.0934587,0.478353,0.791063
RHC,FormZone2024,0.709734,0.995999,0.951136,12.2478,0.00440812,-0.00529708,-0.374237,2.52165,0.00393687,-0.00452441,0.247714,0.310558,2.14742
RHC,hNFSI_FateFracEV3_2024,0.753444,0.174333,2.15178,0.9345,0.00452307,0.00212674,0.886688,0.655929,0.00294878,0.00128744,0.308686,0.150352,1.54262
RHC,hNFSI_FateFracEV2_2024,0.541489,0.24851,2.18907,0.463649,0.0037826,0.00266045,0.96404,0.348067,0.00235199,0.00198648,0.263993,0.169215,1.31211
