beam,syst,chi2_shape_up,chi2_shape_down,chi2_raw_up,chi2_raw_down,dmean_up,dmean_down,rate_change_pct_up,rate_change_pct_down,dvar_up,dvar_down,ks_pct_up,ks_pct_down,asymmetry_pct
FHC,RDecBR1eta,3.63909,3.5661,5.39517,5.39518,-0.00740925,0.00733457,-0.506509,0.506509,-0.0101022,0.00989221,0.334841,0.331466,4.52645e-07
FHC,COHCCScale2018,0.207158,0.209148,0.607231,0.607231,-0.00157184,0.00157937,0.238971,-0.238971,-0.00167537,0.00167842,0.0824706,0.0828657,4.16465e-14
FHC,MaNCEL,0.071177,0.0194003,0.541448,0.146493,-0.000832002,0.000416628,0.259309,-0.134885,-0.000690524,0.000312048,0.0474928,0.0246989,0.124424
FHC,RDecBR1gamma,0.00239696,0.00239679,0.00271587,0.00271642,-0.000136507,0.000136454,-0.00675879,0.00675949,-6.94631e-05,6.92935e-05,0.00822223,0.00822081,3.22131e-06
FHC,COHNCScale2018,0.000731074,0.000731475,0.00205005,0.00205005,-9.30281e-05,9.30537e-05,0.0137372,-0.0137372,-9.84781e-05,9.84878e-05,0.00489955,0.00490089,0
FHC,EtaNCEL,0.000299552,0.0002932,0.000675,0.000644989,-6.88474e-05,6.82275e-05,0.00732932,-0.00709547,-9.96182e-05,9.92781e-05,0.00291001,0.00286991,0.000233848
FHC,2ndclasscurr,5.04227e-07,5.04417e-07,0.00062006,0.00062006,2.05234e-06,-2.05273e-06,0.00941574,-0.00941574,2.45682e-06,-2.45729e-06,0.000104229,0.000104248,0
FHC,radcorrnuebar,4.31472e-07,4.31482e-07,3.20182e-06,3.20182e-06,-2.57675e-07,2.57679e-07,0.000629624,-0.000629624,-2.10637e-07,2.10639e-07,2.93128e-05,2.93132e-05,0
FHC,radcorrnue,2.64557e-07,2.64663e-07,0.000705449,0.000705449,1.79468e-06,-1.79504e-06,0.0100454,-0.0100454,2.24619e-06,-2.24665e-06,7.99718e-05,7.99878e-05,0
RHC,COHCCScale2018,0.454485,0.462673,0.860298,0.860298,-0.00443703,0.00447682,0.446384,-0.446384,-0.00150218,0.00147575,0.236483,0.238603,0
RHC,RDecBR1eta,0.120466,0.118445,0.479917,0.479918,0.00033044,-0.000327658,-0.422831,0.422831,-0.0025328,0.00251125,0.0845616,0.0838496,3.90821e-07
RHC,MaNCEL,0.0737804,0.00515011,0.180602,0.0110006,-0.00122314,0.000484563,0.229811,-0.0538935,0.000784415,0.000183951,0.0879647,0.0246892,0.175917
RHC,RDecBR1gamma,0.000815174,0.00081526,0.00084297,0.000842904,3.11442e-05,-3.11418e-05,0.00370895,-0.00370685,0.000213731,-0.00021374,0.00494458,0.00494476,2.09867e-06
RHC,COHNCScale2018,0.000398677,0.000398883,0.000734065,0.000734065,-0.000132175,0.000132209,0.0128955,-0.0128955,-4.62966e-05,4.62735e-05,0.0070046,0.0070064,0
RHC,EtaNCEL,8.11627e-05,7.8985e-05,0.000119682,0.000111001,-7.0139e-05,7.00363e-05,0.00437051,-0.00398528,-5.9956e-05,6.43154e-05,0.00296056,0.00286663,0.000385231
RHC,radcorrnue,7.18606e-06,7.18782e-06,8.34492e-05,8.34492e-05,-1.93977e-05,1.94001e-05,0.00615018,-0.00615018,-1.4345e-05,1.4346e-05,0.00086112,0.000861225,0
RHC,radcorrnuebar,5.99402e-06,5.99547e-06,7.98168e-05,7.98168e-05,-1.04457e-05,1.04469e-05,0.00605099,-0.00605099,3.46724e-06,-3.46788e-06,0.000592309,0.000592381,0
RHC,2ndclasscurr,5.79219e-06,5.79221e-06,5.81204e-06,5.81204e-06,-8.95257e-06,8.95259e-06,9.91965e-05,-9.91965e-05,-1.78132e-05,1.7813e-05,0.000351478,0.000351478,0
