beam,syst,chi2_shape_up,chi2_shape_down,chi2_raw_up,chi2_raw_down,dmean_up,dmean_down,rate_change_pct_up,rate_change_pct_down,dvar_up,dvar_down,ks_pct_up,ks_pct_down,asymmetry_pct
FHC,MECInitStateNPFrac2020Nu,8.3102,0.923918,8.31763,0.924181,-0.0104541,0.00348576,0.0228191,-0.00760638,-0.0120557,0.00397118,0.516736,0.172298,0.693499
FHC,MECShape2024Nu,0.816521,0.507335,26.6862,8.17863,0.000987553,-0.00116136,1.92284,1.047,-0.00181827,-0.00311283,0.122018,0.077135,2.96984
FHC,MECEnuShape2020Nu,0.141868,0.172358,7.80142,8.83194,0.000297642,-0.000600455,1.04672,-1.11342,-0.000983886,0.000606941,0.04657,0.0596862,0.0666964
FHC,MECShape2024AntiNu,0.0289228,0.0426359,0.037261,0.0724297,0.000631944,1.67115e-08,0.034501,0.0652336,0.00101138,-0.000905733,0.0277292,0.0193433,0.0997346
FHC,MECEnuShape2020AntiNu,0.0303754,0.0156698,0.065392,0.0299977,0.000667795,-0.000504655,0.0707431,-0.0453024,0.000928526,-0.000757887,0.0302696,0.0208828,0.0254407
FHC,MECInitStateNPFrac2020AntiNu,0.00682668,0.000758637,0.00706073,0.000784526,0.000300802,-0.000100275,0.00577742,-0.00192581,0.000561819,-0.000187328,0.0117441,0.00391501,0.0133148
RHC,MECShape2024AntiNu,2.13761,2.08701,6.2268,8.08469,0.01108,0.00166782,1.4135,1.71434,0.0137822,-0.00879174,0.36856,0.352916,3.12784
RHC,MECEnuShape2020AntiNu,0.789773,1.08221,2.82725,3.49473,0.0070362,-0.00845271,1.00133,-1.09923,0.00532474,-0.00744849,0.281056,0.324009,0.097893
RHC,MECInitStateNPFrac2020AntiNu,0.938859,0.10448,0.94682,0.105202,0.0079476,-0.00265126,0.0583509,-0.0194503,0.0109348,-0.00367587,0.268439,0.0895493,0.342148
RHC,MECShape2024Nu,0.0923803,0.0540939,0.414153,0.111099,-0.000548318,-0.00012642,0.399033,0.167879,-0.00215818,-0.0011934,0.0447673,0.0366562,0.566912
RHC,MECInitStateNPFrac2020Nu,0.0500769,0.00556707,0.0509006,0.00565562,-0.00129584,0.000432061,0.0199645,-0.00665484,-0.000328738,0.000108862,0.0757327,0.0252509,0.0998458
RHC,MECEnuShape2020Nu,0.0130922,0.00414836,0.168193,0.0753935,-0.000783876,0.000443177,0.277292,-0.188,-0.00054487,0.000225265,0.034093,0.0185065,0.0892923
