beam,syst,chi2_shape_up,chi2_shape_down,chi2_raw_up,chi2_raw_down,dmean_up,dmean_down,rate_change_pct_up,rate_change_pct_down,dvar_up,dvar_down,ks_pct_up,ks_pct_down,asymmetry_pct
FHC,MECShape2024Nu,17.1657,66.3775,60.1837,81.1761,-0.542769,-2.43969,3.15553,1.72263,-52.8496,83.9542,0.410153,1.76813,4.89898
FHC,MECInitStateNPFrac2020Nu,2.17494,0.240675,2.26686,0.251874,0.557631,-0.185498,-0.153023,0.0510076,1.97784,-0.795783,0.313332,0.104231,0.435957
FHC,MECEnuShape2020Nu,0.303556,0.0553309,10.8052,10.9426,-0.191001,-0.00116108,1.57871,-1.60831,-1.52223,2.76045,0.0996416,0.0156206,0.224516
FHC,MECShape2024AntiNu,0.137417,0.281793,0.153445,0.327507,-0.0404822,-0.113936,0.0613793,0.10354,-1.34854,4.85154,0.0340894,0.0890381,0.242582
FHC,MECEnuShape2020AntiNu,0.10383,0.0188092,0.164647,0.0435668,-0.0949189,0.0441731,0.119948,-0.0767328,4.16802,-1.41451,0.05313,0.0239285,0.0504403
FHC,MECInitStateNPFrac2020AntiNu,0.0136151,0.00151358,0.0152472,0.00169414,-0.0222487,0.00741819,0.0196579,-0.00655265,1.21087,-0.403951,0.0139219,0.00464186,0.027375
RHC,MECShape2024AntiNu,6.36584,19.4894,12.7991,28.5481,-0.543232,-1.89358,1.99982,2.29767,-66.6214,-42.2714,0.458825,1.48292,4.45829
RHC,MECShape2024Nu,1.06949,0.507726,1.47904,0.579752,-0.0158977,-0.209724,0.508076,0.212697,-18.0226,-6.71817,0.0961988,0.196914,0.84906
RHC,MECInitStateNPFrac2020AntiNu,0.746762,0.0838399,0.987483,0.10972,-0.406684,0.136267,0.389997,-0.129999,-15.0786,4.97838,0.255104,0.0854776,0.449413
RHC,MECEnuShape2020AntiNu,0.545127,0.597163,3.57542,4.24537,-0.331193,0.186122,1.39725,-1.54084,-27.4009,30.7046,0.217301,0.156598,0.288858
RHC,MECInitStateNPFrac2020Nu,0.058311,0.00647688,0.0585288,0.0065032,0.0349666,-0.0116536,-0.0122606,0.00408687,2.43415,-0.811795,0.0371093,0.0123678,0.102565
RHC,MECEnuShape2020Nu,0.0376848,0.0141259,0.230491,0.0945643,-0.0517303,-0.0267655,0.353097,-0.228318,-3.45515,1.1231,0.0333086,0.0275018,0.138094
