beam,syst,chi2_shape_up,chi2_shape_down,chi2_raw_up,chi2_raw_down,dmean_up,dmean_down,rate_change_pct_up,rate_change_pct_down,dvar_up,dvar_down,ks_pct_up,ks_pct_down,asymmetry_pct
FHC,MECInitStateNPFrac2020Nu,78.133,8.39948,82.2225,9.13583,0.0203305,-0.00666589,-1.23302,0.411008,-0.00153299,0.000322674,0.92357,0.302816,0.829284
FHC,MECShape2024Nu,48.0954,14.9559,71.2628,21.3135,-0.02256,-0.0125824,2.30194,1.23124,-0.0319406,-0.0162256,1.23338,0.666675,3.53318
FHC,MECEnuShape2020Nu,11.8458,13.9705,17.9518,20.2282,-0.0106784,0.0115778,1.2136,-1.29438,-0.0188096,0.020066,0.635433,0.686762,0.0807884
FHC,MECEnuShape2020AntiNu,2.90982,1.06859,2.9836,1.09557,-0.00296903,0.00185039,0.129504,-0.0854008,0.00547865,-0.0032157,0.0724317,0.0457011,0.0454941
FHC,MECInitStateNPFrac2020AntiNu,2.27193,0.252556,2.27398,0.252664,-0.00136514,0.000455155,0.0177378,-0.00591258,0.00559877,-0.00186753,0.0485674,0.016193,0.0556956
FHC,MECShape2024AntiNu,0.462998,0.730346,0.480509,0.780064,-0.00143967,-0.00204546,0.0654247,0.110364,0.00217436,0.00218916,0.0449071,0.0604276,0.175789
RHC,MECInitStateNPFrac2020AntiNu,23.4833,2.6302,23.7762,2.6418,-0.0220504,0.00737956,0.300149,-0.10005,0.0224801,-0.00774057,0.880945,0.294825,1.12116
RHC,MECShape2024AntiNu,12.8952,15.8676,19.3657,24.0596,-0.00599879,-0.00517977,1.88436,2.11236,-0.0763336,-0.0858302,0.592818,0.663062,3.99672
RHC,MECEnuShape2020AntiNu,6.98886,9.18735,10.1541,12.6849,-0.00645335,0.00705703,1.3298,-1.49627,-0.0508835,0.0587095,0.409467,0.46777,0.166472
RHC,MECShape2024Nu,0.991967,0.219097,1.23481,0.286275,0.00278405,0.00107743,0.373877,0.198426,-0.0188999,-0.0103989,0.166546,0.088545,0.572303
RHC,MECEnuShape2020Nu,0.285394,0.140891,0.373774,0.181072,0.0013688,-0.00113064,0.227393,-0.155301,-0.0116803,0.00768697,0.101442,0.0695468,0.076154
RHC,MECInitStateNPFrac2020Nu,0.213852,0.0236845,0.238112,0.0264568,-1.47253e-06,4.9005e-07,-0.121298,0.0404326,0.00686287,-0.00228393,0.0543009,0.018071,0.0808652
