beam,syst,chi2_shape_up,chi2_shape_down,chi2_raw_up,chi2_raw_down,dmean_up,dmean_down,rate_change_pct_up,rate_change_pct_down,dvar_up,dvar_down,ks_pct_up,ks_pct_down,asymmetry_pct
FHC,ZNormCCQE,0.765591,0.761471,20.091,11.3012,-1.59106,1.58677,16.5093,-12.382,-204.158,198.566,1.01924,1.0165,4.12733
FHC,RPAShapeenh2020,0.157046,0.0771384,0.686263,0.500085,0.0352352,0.0557998,2.72888,-2.47075,-12.4082,17.0853,0.133901,0.0832981,0.258128
FHC,RPAShapesupp2020,0.120142,0.140194,1.16933,1.16933,-0.573669,0.619695,3.85678,-3.85678,-54.9589,58.6287,0.478676,0.51708,0
FHC,ZExpAxialFFSyst2020_EV1,0.0655721,0.0674803,1.48433,1.28586,-0.3373,0.355431,4.49564,-4.18443,-60.9373,62.2522,0.218545,0.227205,0.311212
FHC,ZExpAxialFFSyst2020_EV2,0.034412,0.0344023,0.729218,0.650844,-0.188838,0.199308,3.14778,-2.97452,-40.5109,41.2264,0.134021,0.137882,0.173264
FHC,ZExpAxialFFSyst2020_EV3,0.0194583,0.0179492,0.349322,0.312676,-0.0562748,0.0696994,2.16953,-2.05593,-20.396,22.0047,0.0951817,0.0844319,0.113601
FHC,ZExpAxialFFSyst2020_EV4,0.000342352,0.000359642,0.0027947,0.00286662,-0.00686436,0.00730592,-0.187355,0.18933,0.738629,-0.672945,0.0188189,0.0191665,0.00197462
RHC,ZNormCCQE,4.16912,4.19906,160.274,90.1542,-1.25571,1.26021,16.8755,-12.6566,-130.041,127.336,0.985502,0.989036,4.21887
RHC,RPAShapesupp2020,0.624999,0.709539,6.12172,6.12172,-0.451286,0.48084,3.17056,-3.17056,-36.4029,38.3387,0.442497,0.471475,1.83265e-14
RHC,ZExpAxialFFSyst2020_EV1,0.246667,0.267739,12.1195,10.4977,-0.261099,0.277677,4.67225,-4.34611,-37.7185,38.9594,0.182873,0.197199,0.326139
RHC,RPAShapeenh2020,0.127971,0.0565051,3.92559,3.09124,0.0840601,-0.00492857,2.64267,-2.36553,5.91517,1.67852,0.0775734,0.0261508,0.277141
RHC,ZExpAxialFFSyst2020_EV2,0.0997958,0.105373,5.94976,5.30974,-0.140291,0.150078,3.28103,-3.09836,-23.8927,24.6358,0.0955346,0.10188,0.182665
RHC,ZExpAxialFFSyst2020_EV3,0.0362705,0.0376142,2.89599,2.57734,-0.0201986,0.0417251,2.29464,-2.16377,-9.48459,12.0007,0.0472717,0.0373558,0.130865
RHC,ZExpAxialFFSyst2020_EV4,0.000962427,0.00102202,0.023202,0.023879,-0.0090072,0.0102154,-0.202433,0.205187,0.0307521,0.136814,0.013802,0.0144303,0.00275358
