beam,syst,chi2_shape_up,chi2_shape_down,chi2_raw_up,chi2_raw_down,dmean_up,dmean_down,rate_change_pct_up,rate_change_pct_down,dvar_up,dvar_down,ks_pct_up,ks_pct_down,asymmetry_pct
FHC,ZNormCCQE,104.191,73.3098,292.629,164.603,-3.898,3.2697,6.43989,-4.82992,55.7241,-70.1783,2.19005,1.83704,1.60997
FHC,RPAShapesupp2020,27.6099,29.5058,44.0822,43.2159,-1.73693,1.77908,1.91301,-1.87543,72.0877,-81.8881,1.00408,1.02976,0.0375831
FHC,ZExpAxialFFSyst2020_EV1,8.74046,8.44308,26.067,23.195,-1.14733,1.12756,2.0079,-1.89194,4.90614,-7.85838,0.653421,0.641819,0.115953
FHC,ZExpAxialFFSyst2020_EV2,4.01091,3.91742,13.5891,12.4114,-0.77954,0.770506,1.49883,-1.42973,-1.35824,-0.266741,0.44469,0.43923,0.069093
FHC,RPAShapeenh2020,2.95601,3.64485,17.7898,14.2516,-0.657542,0.715848,1.87008,-1.59594,7.27512,-14.8832,0.338497,0.389375,0.274146
FHC,ZExpAxialFFSyst2020_EV3,1.18978,1.21305,7.78424,7.1189,-0.419985,0.425126,1.24876,-1.18731,-6.42955,5.64789,0.240577,0.243002,0.0614403
FHC,ZExpAxialFFSyst2020_EV4,0.00498558,0.00490015,0.0934256,0.0953803,0.018533,-0.0180294,-0.144955,0.146594,1.4878,-1.48871,0.0125083,0.0122626,0.00163881
RHC,ZNormCCQE,66.3528,49.3346,177.24,99.6977,-5.07858,4.37914,8.0386,-6.02894,-87.4175,33.9613,3.03888,2.62035,2.00965
RHC,RPAShapesupp2020,4.84707,5.211,9.66888,9.65665,-1.29982,1.34724,1.73563,-1.73047,-7.02284,3.52806,0.825151,0.856347,0.00516489
RHC,ZExpAxialFFSyst2020_EV1,5.01793,4.79691,13.234,11.5207,-1.43047,1.39686,2.27394,-2.11757,-29.0497,23.9212,0.840482,0.82168,0.15637
RHC,ZExpAxialFFSyst2020_EV2,2.32457,2.23631,6.41336,5.75408,-0.981767,0.961725,1.61206,-1.52371,-21.8394,19.1815,0.573006,0.561804,0.0883497
RHC,RPAShapeenh2020,1.12937,1.14786,5.17468,4.30709,-0.70221,0.698932,1.61113,-1.43769,-22.1484,17.9728,0.388448,0.395957,0.173444
RHC,ZExpAxialFFSyst2020_EV3,0.926299,0.896294,3.01376,2.71931,-0.625982,0.615183,1.15662,-1.09229,-15.6861,14.3837,0.360726,0.355061,0.0643293
RHC,ZExpAxialFFSyst2020_EV4,0.00509999,0.00511697,0.02283,0.0233147,0.0467379,-0.0467678,-0.107182,0.10852,1.52909,-1.53699,0.026297,0.0263184,0.00133801
