beam,syst,chi2_shape_up,chi2_shape_down,chi2_raw_up,chi2_raw_down,dmean_up,dmean_down,rate_change_pct_up,rate_change_pct_down,dvar_up,dvar_down,ks_pct_up,ks_pct_down,asymmetry_pct
FHC,RESOtherScaleSyst,6.79619,7.53028,53.0806,53.0806,0.0103993,-0.0109466,2.56371,-2.56371,0.015142,-0.0161724,0.443278,0.466604,6.7155e-13
FHC,MaNCRES,3.16413,1.59131,19.771,10.9954,0.0070447,-0.0050828,1.537,-1.16231,0.013908,-0.00960653,0.235345,0.169775,0.374691
FHC,RESDeltaScaleSyst,1.96089,2.45488,222.209,222.209,-0.00572578,0.00640653,5.61109,-5.61109,-0.0098882,0.0109861,0.204776,0.229122,5.91511e-12
FHC,MaCCRES,2.32609,2.294,305.295,354.561,0.00621868,-0.00605287,6.58091,-7.10303,0.0104597,-0.00943529,0.236702,0.251979,0.522116
FHC,RESvpvnRatioNuXSecSyst,2.22161,2.26349,3.76598,3.76598,-0.00580122,0.00585565,0.466923,-0.466923,-0.00793813,0.00794435,0.260998,0.263446,5.21883e-13
FHC,MvCCRES,1.93373,1.64488,244.415,194.815,0.00565642,-0.00516182,5.88767,-5.25986,0.00919759,-0.00803702,0.222134,0.212009,0.627812
FHC,LowQ2RESSupp2020,0.682528,0,31.3371,0,-0.00146263,0,-2.09538,0,0.000493656,0,0.127587,0,2.09538
FHC,MvNCRES,0.288904,0.165987,2.17756,1.33399,0.00214515,-0.00164045,0.51945,-0.409061,0.00415857,-0.0031048,0.072182,0.0553166,0.110389
FHC,Theta_Delta2Npi,0.0968999,0.0432694,3.60972,1.60432,0.000843226,0.000563472,0.708854,0.47257,0.000398755,0.000266619,0.0522216,0.0348962,1.18142
FHC,RESvpvnRatioNubarXSecSyst,0.00100803,0.00100802,0.0010086,0.0010086,-0.000125418,0.000125417,-0.000286193,0.000286193,-0.000190347,0.000190314,0.00526404,0.00526401,0
RHC,RESDeltaScaleSyst,1.41181,1.67105,37.3006,37.3006,0.00958955,-0.0104329,4.21188,-4.21188,0.00838901,-0.00933565,0.384901,0.41875,5.33418e-13
RHC,MvCCRES,1.01329,0.43777,25.8932,14.0512,0.00799781,-0.00506532,3.50773,-2.60061,0.0111885,-0.00821426,0.297538,0.171506,0.907112
RHC,MaCCRES,0.884543,0.601027,35.1582,29.0324,0.00725939,-0.00610211,4.11852,-3.75812,0.0105764,-0.00924113,0.276975,0.203998,0.360405
RHC,LowQ2RESSupp2020,0.327886,0,7.53418,0,-0.0043658,0,-1.89217,0,-0.00373836,0,0.189755,0,1.89217
RHC,MaNCRES,0.25704,0.0437086,4.70249,1.74693,0.00150196,-0.000575724,1.48359,-0.919328,0.00588446,-0.00229347,0.0810362,0.0332311,0.564267
RHC,RESOtherScaleSyst,0.216984,0.236348,9.43123,9.43123,0.00228178,-0.00238142,2.13669,-2.13669,0.0056012,-0.00585689,0.0994544,0.103797,1.80437e-13
RHC,RESvpvnRatioNubarXSecSyst,0.173613,0.173362,0.176131,0.176131,-0.00299269,0.00299052,-0.0362067,0.0362067,-0.00174933,0.00173017,0.144553,0.144449,1.80437e-14
RHC,Theta_Delta2Npi,0.0573014,0.0255122,0.199148,0.0885102,0.00160745,0.00107258,0.264958,0.176639,0.00114461,0.000764322,0.0657333,0.0438609,0.441596
RHC,RESvpvnRatioNuXSecSyst,0.0114012,0.0114237,0.0162736,0.0162736,-0.000773277,0.000774036,0.0491023,-0.0491023,-0.000423453,0.000422671,0.0370722,0.0371086,0
RHC,MvNCRES,0.00180446,0.00169059,0.0148995,0.00171448,-0.000264157,0.000175074,0.0805821,0.00343381,-0.00054567,0.000515307,0.00979794,0.00900241,0.0840159
