beam,syst,chi2_shape_up,chi2_shape_down,chi2_raw_up,chi2_raw_down,dmean_up,dmean_down,rate_change_pct_up,rate_change_pct_down,dvar_up,dvar_down,ks_pct_up,ks_pct_down,asymmetry_pct
FHC,MaCCRES,35.0873,58.4771,128.567,191.635,2.38569,-3.04972,4.62778,-5.76069,5.52606,-2.14183,1.27133,1.65537,1.1329
FHC,RESDeltaScaleSyst,41.7811,55.1944,251.081,251.081,2.17289,-2.49744,6.94919,-6.94919,-95.1896,97.7436,1.38445,1.59124,1.23147e-13
FHC,MvCCRES,31.5106,31.9441,101.213,92.4991,2.26417,-2.27859,3.99347,-3.86785,19.7148,-21.9888,1.19471,1.21286,0.164388
FHC,LowQ2RESSupp2020,5.81666,0,37.769,0,-0.502518,0,-2.76869,0,57.1908,0,0.43631,0,2.76869
FHC,RESOtherScaleSyst,4.52067,4.71987,9.51056,9.51056,0.813607,-0.83134,1.07799,-1.07799,27.1738,-29.1336,0.427143,0.436452,2.16047e-15
FHC,MaNCRES,1.57191,1.05624,6.71184,5.02244,0.482118,-0.395395,1.10123,-0.973148,4.43608,-2.27433,0.252754,0.204684,0.133325
FHC,Theta_Delta2Npi,0.979292,0.437253,3.03166,1.3474,0.324904,0.217103,0.695905,0.463936,-2.29686,-1.51137,0.193339,0.12919,1.18748
FHC,RESvpvnRatioNuXSecSyst,0.786441,0.812669,3.63089,3.63089,0.197064,-0.200324,0.82013,-0.82013,-19.9083,20.158,0.169779,0.172587,3.24071e-15
FHC,MvNCRES,0.244038,0.159387,0.950802,0.651804,0.191727,-0.155199,0.409163,-0.34239,2.30699,-1.67782,0.100757,0.0810631,0.0667729
FHC,RESvpvnRatioNubarXSecSyst,0.00121089,0.00121017,0.00213844,0.00213844,0.0031422,-0.00314126,-0.0148467,0.0148467,0.853473,-0.853239,0.00438079,0.00437949,0
RHC,RESDeltaScaleSyst,22.6897,27.9481,66.9719,66.9719,2.73045,-3.03037,5.20624,-5.20624,-8.38645,-8.1498,1.76565,1.9596,4.34341e-14
RHC,MaCCRES,11.8806,14.1388,28.0808,32.1199,2.29702,-2.46015,3.16167,-3.50339,82.7571,-72.9467,1.23417,1.39647,0.545503
RHC,MvCCRES,8.87287,5.68313,18.2983,11.3577,2.00066,-1.62024,2.41304,-1.95369,99.2129,-80.5545,1.01591,0.840713,0.45935
RHC,LowQ2RESSupp2020,4.36867,0,11.9251,0,-0.998575,0,-2.24018,0,24.9361,0,0.76192,0,2.24018
RHC,RESOtherScaleSyst,2.46457,2.5458,3.51972,3.51972,0.944216,-0.959651,0.810723,-0.810723,79.9382,-83.072,0.449118,0.45646,1.47234e-15
RHC,MaNCRES,0.894163,0.429134,1.77389,0.943744,0.533272,-0.384483,0.748969,-0.58004,29.0296,-18.6818,0.284724,0.201129,0.18205
RHC,Theta_Delta2Npi,0.441644,0.196708,0.605431,0.26908,0.288138,0.192298,0.322814,0.21521,8.47301,5.67317,0.18882,0.126015,0.682604
RHC,RESvpvnRatioNubarXSecSyst,0.263056,0.258882,0.507869,0.507869,-0.0389833,0.0386728,-0.399858,0.399858,23.325,-23.1422,0.117164,0.11623,0
RHC,MvNCRES,0.0155234,0.0112792,0.0222669,0.0121278,0.0358083,-0.00410129,0.0659809,-0.0235137,0.747662,0.982507,0.0218939,0.00787094,0.0424672
RHC,RESvpvnRatioNuXSecSyst,0.00799908,0.00802159,0.0156334,0.0156334,0.0494508,-0.0495204,0.0702584,-0.0702584,1.44501,-1.45194,0.0288875,0.0289281,0
