beam,syst,chi2_shape_up,chi2_shape_down,chi2_raw_up,chi2_raw_down,dmean_up,dmean_down,rate_change_pct_up,rate_change_pct_down,dvar_up,dvar_down,ks_pct_up,ks_pct_down,asymmetry_pct
FHC,MaCCRES,35.4407,52.7703,240.841,272.54,0.0182329,-0.0236365,7.11933,-7.58929,-0.0381716,0.0541907,0.885921,1.05469,0.543634
FHC,MvCCRES,29.3127,28.9893,193.768,152.762,0.0183118,-0.0187102,6.37683,-5.66996,-0.0351466,0.0372227,0.845034,0.830413,0.706864
FHC,RESDeltaScaleSyst,23.8175,29.1823,127.983,127.983,0.0150535,-0.0166628,5.07419,-5.07419,-0.0587328,0.0644834,0.701385,0.776369,1.62582e-12
FHC,RESOtherScaleSyst,12.5584,14.5029,64.5916,64.5916,0.0095901,-0.0103059,3.59751,-3.59751,-0.00257145,0.00255832,0.544574,0.585218,5.98746e-13
FHC,MaNCRES,9.55878,5.88358,27.3864,15.3121,-0.00304766,0.00283954,2.10031,-1.55995,0.019561,-0.0156965,0.365489,0.290981,0.540357
FHC,LowQ2RESSupp2020,4.92988,0,28.5019,0,-0.00723684,0,-2.45541,0,0.0227319,0,0.281998,0,2.45541
FHC,RESvpvnRatioNuXSecSyst,1.51178,1.50251,1.60058,1.60058,0.00460147,-0.00458733,-0.153821,0.153821,-0.0128623,0.0127807,0.18571,0.185139,2.76344e-14
FHC,Theta_Delta2Npi,0.899138,0.401744,3.45269,1.53453,0.00364082,0.00243366,0.801811,0.534541,-0.0114924,-0.00767902,0.154365,0.103183,1.33884
FHC,MvNCRES,0.830615,0.533565,2.64141,1.6285,-0.000497455,0.000467913,0.675018,-0.527885,0.00614443,-0.00495806,0.10281,0.0828029,0.147133
FHC,RESvpvnRatioNubarXSecSyst,0.00288103,0.00287953,0.00355184,0.00355184,0.000177103,-0.000177057,-0.01304,0.01304,-0.00021161,0.000211492,0.00466281,0.0046616,0
RHC,RESDeltaScaleSyst,23.6226,28.7256,66.1867,66.1867,0.0502991,-0.0554665,4.8857,-4.8857,-0.0663789,0.0673318,1.38594,1.52832,3.3483e-13
RHC,MaCCRES,18.6908,20.1287,52.8965,44.9346,0.0590521,-0.0543764,4.39478,-3.95685,-0.0166127,0.0415967,1.24511,1.30093,0.566112
RHC,MvCCRES,13.3701,8.69762,38.4639,20.634,0.0519447,-0.040243,3.78006,-2.7137,-0.00622294,0.0134188,1.04405,0.85659,1.06636
RHC,RESOtherScaleSyst,5.2296,5.67435,12.4555,12.4555,0.035268,-0.0367371,2.04026,-2.04026,0.0116271,-0.0147567,0.706835,0.736279,1.05309e-13
RHC,LowQ2RESSupp2020,4.76182,0,12.8672,0,-0.0280628,0,-2.22197,0,0.0223835,0,0.658688,0,2.22197
RHC,MaNCRES,3.80909,1.50089,7.5358,2.7499,0.0209669,-0.0123936,1.46497,-0.870108,-0.00196275,0.00128884,0.475557,0.289107,0.594859
RHC,Theta_Delta2Npi,0.326224,0.145316,0.522302,0.232134,0.00801575,0.00534986,0.339282,0.226188,-5.00472e-05,-1.91411e-05,0.196167,0.130925,0.715908
RHC,RESvpvnRatioNubarXSecSyst,0.298845,0.295019,0.471679,0.471679,-0.000961767,0.000955591,-0.322131,0.322131,0.00927315,-0.00921543,0.0979785,0.0973493,0
RHC,MvNCRES,0.0139663,0.00512501,0.0206735,0.0054439,0.00155309,-0.00030157,0.0630255,0.0137303,0.00122221,-0.00105245,0.0399707,0.0136319,0.0767558
RHC,RESvpvnRatioNuXSecSyst,0.00339782,0.00339641,0.00357896,0.00357896,5.68086e-05,-5.67968e-05,-0.0103913,0.0103913,-8.52476e-05,8.52234e-05,0.00812111,0.00811943,0
