beam,spectrum,chi2_shape_up,chi2_shape_down,chi2_raw_up,chi2_raw_down,dmean_up,dmean_down,rate_change_pct_up,rate_change_pct_down
FHC,N true neutron prongs,9.72044,17.4373,1483.33,1483.33,0.011553,-0.0154736,14.5064,-14.5064
FHC,N GENIE neutrons,13.3218,25.0112,1694.57,1694.57,0.0113074,-0.0154935,15.6191,-15.6191
FHC,N_{NLS} per event,1.26292,2.28907,1441.73,1441.73,0.00512763,-0.00690334,14.7595,-14.7595
FHC,HadVisE [MeV],5.51829,10.8243,523.94,523.94,0.801013,-1.12186,16.6857,-16.6857
FHC,Final-state topology bin,120.153,367.466,2654.98,2654.98,-0.0569663,0.0996231,27.2412,-27.2412
RHC,N true neutron prongs,4.22996,6.98852,319.7,319.7,0.0166163,-0.0213579,12.4864,-12.4864
RHC,N GENIE neutrons,4.65157,8.16628,391.445,391.445,0.0143568,-0.0190226,13.9781,-13.9781
RHC,N_{NLS} per event,1.52522,2.54971,314.167,314.167,-0.00361666,0.00467614,12.7758,-12.7758
RHC,HadVisE [MeV],3.96993,8.34293,402.691,402.691,-0.490261,0.710715,18.3562,-18.3562
RHC,Final-state topology bin,14.6325,35.8505,719.054,719.054,-0.0108876,0.017042,22.0354,-22.0354
