beam,syst,chi2_shape_up,chi2_shape_down,chi2_raw_up,chi2_raw_down,dmean_up,dmean_down,rate_change_pct_up,rate_change_pct_down,dvar_up,dvar_down,ks_pct_up,ks_pct_down,asymmetry_pct
FHC,DISvnCC1pi_2020,1.11273,1.16709,3.26188,3.26188,0.00741407,-0.00759301,1.19239,-1.19239,0.0125986,-0.0130166,0.367045,0.375904,0
FHC,DISNuHadronQ1Syst,1.12836,1.0855,2.50535,2.50535,-0.00769184,0.00754436,-0.96798,0.96798,-0.0141355,0.0137495,0.355693,0.348873,0
FHC,DISvpCC2pi_2020,0.0225434,0.0226493,0.0431114,0.0431114,0.000721985,-0.00072368,0.117229,-0.117229,0.00138959,-0.00139389,0.0383153,0.0384053,0
FHC,DISvpNC1pi_2020,0.0110134,0.0110518,0.0223536,0.0223536,0.000629239,-0.000630336,0.0870847,-0.0870847,0.000701732,-0.000703749,0.036503,0.0365666,0
FHC,DISvpNC2pi_2020,0.00529395,0.00530318,0.00812882,0.00812882,0.000331496,-0.000331785,0.0435423,-0.0435423,0.000553018,-0.00055372,0.0148251,0.0148381,0
FHC,DISNuBarHadronQ0Syst,0.00419507,0.00419394,0.00426149,0.00426149,-2.06884e-06,2.06856e-06,-0.00669882,0.00669882,0.000443519,-0.00044346,0.0115711,0.0115696,0
FHC,DISvnNC2pi_2020,0.00407789,0.00408008,0.00434694,0.00434694,0.000238564,-0.000238628,0.0133976,-0.0133976,0.000668084,-0.000668377,0.00974178,0.00974439,0
FHC,DISvpCC1pi_2020,0.00258428,0.0025999,0.0365049,0.0365049,-0.000338127,0.000339148,0.150723,-0.150723,-0.000623133,0.000624784,0.0176413,0.0176945,0
FHC,AGKYxF1pi,0.000500661,0.00214398,0.000528998,0.00300201,-5.78042e-05,0.000109486,-0.00436029,0.0239603,-0.000157735,-7.03406e-05,0.00414134,0.0127695,0.0246044
FHC,DISvbarpCC1pi_2020,0.0020765,0.00207928,0.00375259,0.00375259,0.000110789,-0.000110863,0.0334941,-0.0334941,0.000200254,-0.000200413,0.00760812,0.00761321,0
FHC,DISvpCC3pi_2020,0.00139559,0.00139578,0.00141243,0.00141243,0.00011826,-0.000118268,0.00334941,-0.00334941,0.000388363,-0.000388417,0.00328737,0.00328759,0
FHC,DISvnCC2pi_2020,0.00136829,0.00136865,0.00143546,0.00143546,0.000102544,-0.000102558,0.00669882,-0.00669882,0.00036654,-0.00036661,0.00322534,0.00322577,0
FHC,AGKYpT1pi,0.000299839,0.000744913,0.000312534,0.000754376,2.96065e-05,9.02722e-05,-0.0029182,0.00251275,0.00012203,0.000222323,0.00224887,0.00376221,0.0121773
FHC,DISvnNC1pi_2020,0.000423049,0.000424981,0.0197836,0.0197836,-6.52401e-05,6.53889e-05,0.11388,-0.11388,-0.000310454,0.000311153,0.0021031,0.0021079,0
FHC,DISvbarpNC1pi_2020,0.000128175,0.000128261,0.000546894,0.000546894,2.19151e-05,-2.19225e-05,0.0167471,-0.0167471,-3.58728e-05,3.58839e-05,0.00213027,0.00213098,0
FHC,DISvbarnCC1pi_2020,9.35246e-05,9.35371e-05,0.000110278,0.000110278,1.77808e-05,-1.7782e-05,0.00334941,-0.00334941,-1.97455e-05,1.97462e-05,0.00243569,0.00243585,0
FHC,CV1uBY,2.2366e-06,2.80771e-06,2.61071e-06,3.25804e-06,-4.73806e-06,5.34838e-06,-0.000500623,0.000549223,-4.26376e-06,4.83726e-06,0.000293797,0.000329835,4.85997e-05
