beam,syst,chi2_shape_up,chi2_shape_down,chi2_raw_up,chi2_raw_down,dmean_up,dmean_down,rate_change_pct_up,rate_change_pct_down,dvar_up,dvar_down,ks_pct_up,ks_pct_down,asymmetry_pct
FHC,DISvnCC1pi_2020,17.5674,19.4202,22.8071,22.8071,-0.00599255,0.00630064,2.50614,-2.50614,0.0213736,-0.0225499,1.05759,1.11196,0
FHC,DISNuHadronQ1Syst,18.6489,17.0757,21.1956,21.1956,0.00939615,-0.00899112,-2.2028,2.2028,-0.0227286,0.0215835,1.13251,1.08369,0
FHC,DISvpCC2pi_2020,0.704411,0.710748,0.742272,0.742272,0.0066067,-0.00663635,0.223891,-0.223891,0.0153495,-0.0155063,0.181023,0.181836,0
FHC,DISvpNC1pi_2020,0.134425,0.135399,0.157481,0.157481,-0.000488301,0.000490067,0.180558,-0.180558,0.00304457,-0.00305606,0.0914474,0.0917783,0
FHC,DISvpNC2pi_2020,0.0581715,0.058323,0.0611722,0.0611722,0.0018536,-0.00185601,0.0650007,-0.0650007,0.00420086,-0.00421321,0.0526386,0.0527071,0
FHC,DISvnNC1pi_2020,0.0304832,0.0306332,0.0409943,0.0409943,0.00201646,-0.00202142,0.122779,-0.122779,0.00207905,-0.00209232,0.0777308,0.0779219,0
FHC,DISvpCC1pi_2020,0.0121409,0.0121795,0.0165297,0.0165297,0.00111855,-0.00112033,0.0794453,-0.0794453,0.000133154,-0.000135874,0.0426771,0.042745,0
FHC,DISvbarpNC1pi_2020,0.0100357,0.0100502,0.0109457,0.0109457,-0.000574301,0.000574716,0.0361115,-0.0361115,6.08326e-05,-6.15369e-05,0.0298674,0.029889,0
FHC,AGKYxF1pi,0.00273991,0.00747902,0.00280059,0.00933471,0.000403625,0.000292956,-0.00940205,0.0516654,0.000351557,0.000905516,0.0127988,0.0195227,0.0466667
FHC,DISvnNC2pi_2020,0.0068294,0.0068373,0.00741113,0.00741113,0.000767963,-0.000768407,0.0288892,-0.0288892,0.00155798,-0.00156006,0.0234034,0.0234169,0
FHC,DISNuBarHadronQ0Syst,0.00619522,0.00618627,0.00709353,0.00709353,0.000430218,-0.000429907,-0.0361115,0.0361115,0.000109385,-0.000109675,0.0226641,0.0226477,0
FHC,DISvbarpCC1pi_2020,0.00378735,0.00379501,0.00556064,0.00556064,0.000351079,-0.000351434,0.0505561,-0.0505561,0.000452941,-0.000453646,0.0157876,0.0158036,0
FHC,AGKYpT1pi,0.000741692,0.000176269,0.00076901,0.000196612,-0.000314079,-6.74856e-05,-0.00629249,0.00541821,-0.000270369,5.77266e-06,0.00982189,0.00385906,0.0199077
FHC,DISvbarnCC1pi_2020,0.000454982,0.000455113,0.000491159,0.000491159,0.00010176,-0.000101775,0.0072223,-0.0072223,-2.71744e-05,2.71576e-05,0.00585211,0.00585296,0
FHC,DISvpCC3pi_2020,0.000347863,0.000347963,0.000384025,0.000384025,0.000173978,-0.000174003,0.0072223,-0.0072223,0.000248544,-0.00024864,0.00638308,0.006384,0
FHC,DISvnCC2pi_2020,0.000347863,0.000347963,0.000384025,0.000384025,0.000173978,-0.000174003,0.0072223,-0.0072223,0.000248544,-0.00024864,0.00638308,0.006384,0
FHC,CV1uBY,1.83151e-05,2.28105e-05,1.91214e-05,2.3782e-05,-2.1028e-05,2.38796e-05,-0.00107949,0.00118428,-7.12863e-05,7.9678e-05,0.000740185,0.000828238,0.000104795
FHC,BhtBY,1.86771e-05,1.92442e-05,2.00455e-05,2.06456e-05,-1.34095e-05,1.37611e-05,-0.00140622,0.00142252,-6.74392e-05,6.85758e-05,0.000684558,0.000696402,1.62955e-05
FHC,CV2uBY,1.7446e-05,1.74467e-05,1.81867e-05,1.81867e-05,2.09155e-05,-2.09159e-05,0.00103411,-0.00103411,6.96908e-05,-6.96931e-05,0.000724493,0.000724508,8.60966e-10
FHC,AhtBY,7.50963e-06,8.17037e-06,8.2478e-06,8.96648e-06,3.1408e-06,-3.49561e-06,0.00103249,-0.00107247,3.73246e-05,-3.91947e-05,0.000462923,0.000476199,3.99858e-05
FHC,DISvpCC0pi_2020,0,0,0,0,0,0,0,0,0,0,0,0,0
FHC,DISvpNC0pi_2020,0,0,0,0,0,0,0,0,0,0,0,0,0
FHC,DISvnNC3pi_2020,0,0,0,0,0,0,0,0,0,0,0,0,0
FHC,DISvnNC0pi_2020,0,0,0,0,0,0,0,0,0,0,0,0,0
FHC,DISvnCC3pi_2020,0,0,0,0,0,0,0,0,0,0,0,0,0
FHC,DISvpNC3pi_2020,0,0,0,0,0,0,0,0,0,0,0,0,0
FHC,DISvnCC0pi_2020,0,0,0,0,0,0,0,0,0,0,0,0,0
FHC,DISvbarpNC3pi_2020,0,0,0,0,0,0,0,0,0,0,0,0,0
FHC,DISvbarpNC2pi_2020,0,0,0,0,0,0,0,0,0,0,0,0,0
FHC,DISvbarpNC0pi_2020,0,0,0,0,0,0,0,0,0,0,0,0,0
FHC,DISvbarpCC3pi_2020,0,0,0,0,0,0,0,0,0,0,0,0,0
FHC,DISvbarpCC2pi_2020,0,0,0,0,0,0,0,0,0,0,0,0,0
FHC,DISvbarpCC0pi_2020,0,0,0,0,0,0,0,0,0,0,0,0,0
FHC,DISvbarnNC3pi_2020,0,0,0,0,0,0,0,0,0,0,0,0,0
FHC,DISvbarnNC2pi_2020,0,0,0,0,0,0,0,0,0,0,0,0,0
FHC,DISvbarnNC1pi_2020,0,0,0,0,0,0,0,0,0,0,0,0,0
FHC,DISvbarnNC0pi_2020,0,0,0,0,0,0,0,0,0,0,0,0,0
FHC,DISvbarnCC3pi_2020,0,0,0,0,0,0,0,0,0,0,0,0,0
FHC,DISvbarnCC2pi_2020,0,0,0,0,0,0,0,0,0,0,0,0,0
FHC,DISvbarnCC0pi_2020,0,0,0,0,0,0,0,0,0,0,0,0,0
RHC,DISNuBarHadronQ0Syst,1.2909,1.27172,1.38607,1.38607,-0.00665808,0.00660842,-0.374332,0.374332,-0.0109527,0.0107833,0.246842,0.245001,0
RHC,DISvbarpCC1pi_2020,0.606053,0.615031,0.71162,0.71162,0.00983037,-0.00990291,0.367647,-0.367647,0.0256075,-0.0259919,0.240642,0.242418,0
RHC,DISvbarpNC1pi_2020,0.172482,0.173314,0.183726,0.183726,0.00135696,-0.00136023,0.120321,-0.120321,-0.000570491,0.000568169,0.07895,0.0791402,0
RHC,DISvbarnCC1pi_2020,0.149763,0.150848,0.174669,0.174669,0.00340208,-0.00341438,0.180481,-0.180481,0.0052943,-0.00533671,0.105009,0.105389,0
RHC,DISvnCC1pi_2020,0.0406395,0.040781,0.0463586,0.0463586,0.00248306,-0.00248738,0.0868984,-0.0868984,0.00695408,-0.00697854,0.0570385,0.0571377,0
RHC,DISNuHadronQ1Syst,0.040781,0.0406395,0.0463586,0.0463586,-0.00248738,0.00248306,-0.0868984,0.0868984,-0.00697854,0.00695408,0.0571377,0.0570385,0
RHC,DISvbarnNC2pi_2020,0.0299266,0.0299667,0.0307822,0.0307822,0.0016803,-0.00168143,0.0334225,-0.0334225,0.00762265,-0.0076334,0.0319953,0.0320167,0
RHC,DISvbarnCC2pi_2020,0.0280834,0.0281209,0.0289377,0.0289377,0.00161348,-0.00161456,0.0334225,-0.0334225,0.00720467,-0.0072147,0.0279217,0.0279403,0
RHC,DISvpCC2pi_2020,0.00499913,0.00500181,0.00513416,0.00513416,0.000685623,-0.000685806,0.013369,-0.013369,0.00313399,-0.00313576,0.0130116,0.0130151,0
RHC,AGKYxF1pi,0.00305184,0,0.00318471,0,-8.41215e-05,0,-0.013369,0,0.0003628,0,0.00878395,0,0.013369
RHC,DISvbarpCC2pi_2020,0.00290737,0.00290814,0.00294118,0.00294118,0.000376255,-0.000376305,0.00668449,-0.00668449,0.00191003,-0.00191056,0.00660809,0.00660897,0
RHC,DISvpCC3pi_2020,0,0,0,0,0,0,0,0,0,0,0,0,0
RHC,DISvpNC0pi_2020,0,0,0,0,0,0,0,0,0,0,0,0,0
RHC,DISvpCC1pi_2020,0,0,0,0,0,0,0,0,0,0,0,0,0
RHC,DISvpCC0pi_2020,0,0,0,0,0,0,0,0,0,0,0,0,0
RHC,DISvpNC1pi_2020,0,0,0,0,0,0,0,0,0,0,0,0,0
RHC,DISvnNC3pi_2020,0,0,0,0,0,0,0,0,0,0,0,0,0
RHC,DISvnNC2pi_2020,0,0,0,0,0,0,0,0,0,0,0,0,0
RHC,DISvpNC2pi_2020,0,0,0,0,0,0,0,0,0,0,0,0,0
RHC,DISvnNC1pi_2020,0,0,0,0,0,0,0,0,0,0,0,0,0
RHC,DISvnNC0pi_2020,0,0,0,0,0,0,0,0,0,0,0,0,0
RHC,AGKYpT1pi,0,0,0,0,0,0,0,0,0,0,0,0,0
RHC,DISvnCC3pi_2020,0,0,0,0,0,0,0,0,0,0,0,0,0
