beam,syst,chi2_shape_up,chi2_shape_down,chi2_raw_up,chi2_raw_down,dmean_up,dmean_down,rate_change_pct_up,rate_change_pct_down,dvar_up,dvar_down,ks_pct_up,ks_pct_down,asymmetry_pct
FHC,hNFSI_MFP_2024,0.792249,2.00433,2.33858,2.34245,-0.0110257,0.0178941,1.48368,-0.728632,-0.0174381,0.0347094,0.425539,0.627637,0.755049
FHC,hNFSI_FateFracEV1_2024,0.110765,0.828499,0.529067,4.53113,0.00370765,-0.0111454,0.776048,-2.32551,0.00906448,-0.0153998,0.109055,0.422875,1.54947
FHC,hNFSI_FateFracEV2_2024,0.655405,0.0184847,2.64161,0.0453379,-0.00888039,-0.000756962,-1.70397,-0.1973,-0.00781704,0.00108464,0.365373,0.060184,1.90127
FHC,hNFSI_FateFracEV3_2024,0.458474,0.190263,1.99639,0.682513,-0.0083234,-0.00441334,-1.49769,-0.846338,-0.0117463,-0.00228355,0.3016,0.189532,2.34403
FHC,FormZone2024,0.107697,0.16804,0.143114,0.222917,-0.00388645,0.00498812,0.224727,-0.284105,-0.00364473,0.00625042,0.146803,0.191553,0.125913
RHC,hNFSI_MFP_2024,1.13376,1.41301,1.14568,1.42196,-0.0109612,0.0125317,0.112035,-0.129959,-0.0230195,0.0294615,0.428958,0.426548,0.19332
RHC,hNFSI_FateFracEV1_2024,0.0610858,0.310259,0.066086,0.365424,-0.000817982,0.00202083,0.0809855,0.267571,-0.0012959,0.0010447,0.0624533,0.104772,0.423794
RHC,hNFSI_FateFracEV2_2024,0.167122,0.0498559,0.221618,0.0524068,0.00205811,-0.000164571,0.267815,0.0577605,0.00318345,-0.000442685,0.0807806,0.0184348,0.414442
RHC,hNFSI_FateFracEV3_2024,0.118303,0.0619001,0.155406,0.0991482,0.000978178,0.000599156,0.221243,0.222429,-0.000135766,-0.000457015,0.0561673,0.0380811,0.556612
RHC,FormZone2024,0.00379626,0.0390597,0.00689139,0.0411926,-0.000365557,0.00196282,0.0643056,0.0529041,-0.000670038,0.0037603,0.0206072,0.0681983,0.11721
