beam,syst,chi2_shape_up,chi2_shape_down,chi2_raw_up,chi2_raw_down,dmean_up,dmean_down,rate_change_pct_up,rate_change_pct_down,dvar_up,dvar_down,ks_pct_up,ks_pct_down,asymmetry_pct
FHC,hNFSI_FateFracEV1_2024,0.0947481,0.313669,0.472627,4.80682,-0.00419951,0.0656966,1.01613,-3.52137,0.513861,-0.426873,0.0432268,0.161613,2.5227
FHC,hNFSI_MFP_2024,0.217944,0.273014,0.240526,0.780009,0.0469202,0.0546337,0.24312,1.17251,0.749252,0.916731,0.115138,0.172344,1.47017
FHC,hNFSI_FateFracEV2_2024,0.216309,0.123921,2.69429,0.230948,0.0477326,0.0142453,-2.61465,-0.545577,0.643586,0.775047,0.127833,0.0766883,3.16023
FHC,hNFSI_FateFracEV3_2024,0.155942,0.107237,2.2497,0.752865,0.0571116,0.0421341,-2.40226,-1.33455,0.766095,0.0519218,0.140517,0.104915,3.73681
FHC,FormZone2024,0.0528034,0.103277,0.0717962,0.145372,0.00299959,-0.00931478,-0.229847,0.337191,-0.135206,-0.098934,0.0341857,0.0351812,0.302322
RHC,hNFSI_FateFracEV1_2024,0.0609093,0.344612,0.0696712,0.424337,-0.0277866,0.109717,-0.145892,0.427541,-0.183681,2.4696,0.0783727,0.237044,0.669598
RHC,hNFSI_MFP_2024,0.139838,0.200855,0.631818,0.728535,-0.0764875,0.0236107,-1.08562,1.11608,-1.36891,0.735493,0.174043,0.0975671,0.476967
RHC,hNFSI_FateFracEV2_2024,0.126843,0.126884,0.190919,0.129068,0.0751463,0.0241011,0.387576,-0.0751895,2.23577,0.461808,0.157348,0.0733138,0.761555
RHC,hNFSI_FateFracEV3_2024,0.119882,0.08064,0.146243,0.0932315,0.0710555,0.0519002,0.247691,0.171235,1.48441,1.20505,0.143364,0.102456,0.760259
RHC,FormZone2024,0.0243443,0.0413106,0.0262499,0.0669313,0.00824969,-0.0167958,-0.0679392,0.246002,0.0313621,-0.231686,0.0244007,0.0402966,0.23673
