beam,syst,chi2_shape_up,chi2_shape_down,chi2_raw_up,chi2_raw_down,dmean_up,dmean_down,rate_change_pct_up,rate_change_pct_down,dvar_up,dvar_down,ks_pct_up,ks_pct_down,asymmetry_pct
FHC,hNFSI_MFP_2024,0.100824,0.0901424,0.421855,0.237649,0.00246168,-0.00241214,0.796965,0.539789,0.00291309,-0.00273202,0.135969,0.139942,1.33675
FHC,hNFSI_FateFracEV2_2024,0.0587756,0.0245808,2.63032,0.0789534,0.00208052,0.00113719,-2.26245,-0.329302,0.00192867,0.0014478,0.141624,0.0577825,2.59175
FHC,hNFSI_FateFracEV3_2024,0.0499311,0.0359729,2.04407,0.673511,0.0018243,0.00128319,-1.99228,-1.12664,0.00200577,0.00174006,0.108474,0.0684458,3.11893
FHC,FormZone2024,0.012525,0.0464546,0.013339,0.0492273,0.000511852,-0.00153686,-0.0404815,0.0733339,0.000926382,-0.00199294,0.0388971,0.0772051,0.142702
FHC,hNFSI_FateFracEV1_2024,0.00367952,0.0447483,0.53917,4.87579,-8.57205e-05,0.00181549,1.03182,-3.10029,0.000209363,0.00167858,0.0202857,0.123827,2.06847
RHC,hNFSI_FateFracEV1_2024,0.0144971,0.132841,0.0601152,0.998077,-0.000925644,0.00295966,-0.270008,1.17278,-0.000617105,0.00255893,0.0706275,0.19596,0.902768
RHC,hNFSI_FateFracEV2_2024,0.058088,0.0190661,0.562181,0.0398353,0.00194686,0.0010191,0.89586,0.181727,0.00178139,0.00113777,0.124094,0.0547412,1.07759
RHC,hNFSI_FateFracEV3_2024,0.0353059,0.00977641,0.35554,0.148635,0.00150826,0.000714074,0.71421,0.470519,0.00142307,0.000819714,0.094021,0.0372431,1.18473
RHC,hNFSI_MFP_2024,0.0347385,0.0138805,0.934309,0.655501,-0.00151346,-0.000443991,-1.19854,1.01153,-0.00131655,9.75194e-05,0.100144,0.0535421,0.23791
RHC,FormZone2024,0.00279696,0.0053049,0.00298431,0.0236339,0.000396216,-0.000563647,-0.0173331,0.170919,0.000246186,-0.000382632,0.0311035,0.0426535,0.153585
