beam,syst,chi2_shape_up,chi2_shape_down,chi2_raw_up,chi2_raw_down,dmean_up,dmean_down,rate_change_pct_up,rate_change_pct_down,dvar_up,dvar_down,ks_pct_up,ks_pct_down,asymmetry_pct
FHC,RDecBR1eta,0.024564,0.024402,0.065104,0.065104,-0.000965757,0.000962566,-0.165508,0.165509,-0.0012157,0.00120982,0.0556488,0.0554649,5.66745e-08
FHC,COHCCScale2018,0.022122,0.0223017,0.0829035,0.0829035,-0.000881167,0.00088474,0.202306,-0.202306,-0.0010574,0.00106012,0.0540927,0.054312,0
FHC,MaNCEL,0.0217281,0.00706873,0.258473,0.0828312,-0.000602326,0.000320169,0.399416,-0.22608,-0.000262489,0.000111163,0.0495056,0.0275952,0.173335
FHC,EtaNCEL,0.000200576,0.000198527,0.00044653,0.000428491,-9.62088e-05,9.57153e-05,0.0128773,-0.0124543,-0.000158731,0.000158691,0.00448056,0.00443215,0.000422998
FHC,RDecBR1gamma,0.000110696,0.000110681,0.0001318,0.000131804,-5.77727e-05,5.77698e-05,-0.00377321,0.00377346,-0.000124045,0.000124031,0.00270132,0.00270115,2.49609e-07
FHC,COHNCScale2018,2.46762e-05,2.46829e-05,9.2115e-05,9.2115e-05,-2.94297e-05,2.94336e-05,0.00674354,-0.00674354,-3.52905e-05,3.52936e-05,0.00180661,0.00180686,0
FHC,2ndclasscurr,9.87178e-09,9.87184e-09,3.6846e-08,3.6846e-08,-5.88632e-07,5.88634e-07,0.000134871,-0.000134871,-7.0584e-07,7.05841e-07,3.61347e-05,3.61348e-05,0
FHC,radcorrnue,9.87178e-09,9.87184e-09,3.6846e-08,3.6846e-08,-5.88632e-07,5.88634e-07,0.000134871,-0.000134871,-7.0584e-07,7.05841e-07,3.61347e-05,3.61348e-05,0
FHC,radcorrnuebar,0,0,0,0,0,0,0,0,0,0,0,0,0
RHC,MaNCEL,0.0362285,0.00370023,0.0742998,0.00574838,-0.00110531,0.000436086,0.217317,-0.0505561,0.000998076,-0.000176154,0.0948367,0.0291175,0.166761
RHC,COHCCScale2018,0.0284957,0.028678,0.0489952,0.0489952,-0.00156809,0.00157309,0.159442,-0.159442,-0.000283718,0.000279682,0.0928796,0.0931762,0
RHC,RDecBR1eta,0.00195099,0.00194611,0.00509713,0.00509713,-0.000199075,0.000198826,-0.0626259,0.062626,-0.000160379,0.000160099,0.0142952,0.0142773,2.7471e-08
RHC,RDecBR1gamma,4.02527e-05,4.02547e-05,4.15323e-05,4.15321e-05,-6.01942e-05,6.01957e-05,0.001262,-0.0012619,-1.60485e-05,1.60418e-05,0.00348254,0.00348263,9.94896e-08
RHC,EtaNCEL,3.81795e-05,3.69204e-05,4.98911e-05,4.61937e-05,-6.8201e-05,6.80053e-05,0.003819,-0.00339915,-5.79018e-05,6.18082e-05,0.00308381,0.00296524,0.000419844
RHC,COHNCScale2018,2.79139e-05,2.79194e-05,4.78469e-05,4.78469e-05,-4.90784e-05,4.90833e-05,0.00498256,-0.00498256,-8.80532e-06,8.80138e-06,0.00290697,0.00290726,0
RHC,2ndclasscurr,0,0,0,0,0,0,0,0,0,0,0,0,0
RHC,radcorrnue,0,0,0,0,0,0,0,0,0,0,0,0,0
RHC,radcorrnuebar,0,0,0,0,0,0,0,0,0,0,0,0,0
