beam,syst,chi2_shape_up,chi2_shape_down,chi2_raw_up,chi2_raw_down,dmean_up,dmean_down,rate_change_pct_up,rate_change_pct_down,dvar_up,dvar_down,ks_pct_up,ks_pct_down,asymmetry_pct
FHC,MECShape2024Nu,6.05089,3.29638,30.6672,73.1387,0.0147913,0.00982645,4.03291,6.83988,0.0215136,0.0148792,0.857094,0.587982,10.8728
FHC,MECInitStateNPFrac2020Nu,5.51239,0.598033,6.59673,0.73297,-0.0141894,0.00467364,-0.892928,0.297643,-0.0174038,0.00564425,0.842431,0.277477,0.836906
FHC,MECEnuShape2020Nu,0.41099,0.416153,5.31993,4.08859,0.00404256,-0.00395393,1.81665,-1.57648,0.00570419,-0.00513069,0.22896,0.232933,0.240162
FHC,MECShape2024AntiNu,0.167699,0.194188,0.200155,0.384858,0.00252525,0.001984,0.146816,0.357271,0.00459813,0.00107235,0.121622,0.141017,0.504087
FHC,MECEnuShape2020AntiNu,0.165427,0.0546074,0.269033,0.0840052,0.00268528,-0.00159891,0.263209,-0.141168,0.00494155,-0.00300044,0.125024,0.0704007,0.12204
FHC,MECInitStateNPFrac2020AntiNu,0.0551003,0.00613144,0.0598553,0.00665059,0.00155578,-0.000518984,0.0562563,-0.0187521,0.00320846,-0.00107136,0.0583707,0.0194715,0.0604635
RHC,MECShape2024AntiNu,2.45573,2.55475,6.69681,23.2973,0.0152337,0.0103,2.26772,5.05057,0.0174987,-0.00636432,0.546414,0.833502,7.31829
RHC,MECInitStateNPFrac2020AntiNu,1.85868,0.21021,2.23918,0.248798,0.0159568,-0.00536624,0.665618,-0.221873,0.0205015,-0.00700903,0.557419,0.187459,0.739502
RHC,MECEnuShape2020AntiNu,0.819373,0.885312,3.29293,3.2098,0.010764,-0.0112351,1.74506,-1.71258,0.0110094,-0.012385,0.403679,0.404889,0.0559266
RHC,MECShape2024Nu,0.133808,0.125261,0.28178,0.425368,0.000749537,-0.00138946,0.427658,0.609849,-0.00289054,-0.00257745,0.0806136,0.130918,1.05058
RHC,MECInitStateNPFrac2020Nu,0.02376,0.00263777,0.0245477,0.00272752,-0.00117037,0.00038996,-0.0316214,0.0105405,-0.000409209,0.000135737,0.0760018,0.0253233,0.104822
RHC,MECEnuShape2020Nu,0.0175943,0.0033425,0.147253,0.0379898,-0.00120601,0.000413704,0.401661,-0.207787,-0.000273393,-4.3367e-05,0.0599055,0.0241879,0.193874
