beam,syst,chi2_shape_up,chi2_shape_down,chi2_raw_up,chi2_raw_down,dmean_up,dmean_down,rate_change_pct_up,rate_change_pct_down,dvar_up,dvar_down,ks_pct_up,ks_pct_down,asymmetry_pct
FHC,MECShape2024Nu,8.07369,4.35792,32.8108,73.8843,0.237295,-0.0871567,4.01568,6.79398,-13.76,-6.47301,0.68798,0.334961,10.8097
FHC,MECInitStateNPFrac2020Nu,0.115072,0.0124812,1.32547,0.147275,0.0519424,-0.0171067,-0.901167,0.300389,0.138198,-0.0466954,0.113296,0.037313,0.600778
FHC,MECShape2024AntiNu,0.104329,0.113466,0.136381,0.302273,0.0221122,-0.0109954,0.145823,0.354854,-1.1436,-0.371406,0.0686096,0.0644667,0.549598
FHC,MECEnuShape2020Nu,0.0660615,0.0107252,5.04267,3.7441,-0.0303043,0.00268472,1.82529,-1.5814,-0.191792,0.24306,0.0685107,0.0139009,0.243889
FHC,MECEnuShape2020AntiNu,0.0533029,0.00749912,0.157666,0.0377589,-0.0455989,0.0171385,0.264032,-0.142415,0.604916,-0.165918,0.0719125,0.0270508,0.121617
FHC,MECInitStateNPFrac2020AntiNu,0.006751,0.000751291,0.0119421,0.00132689,-0.00823584,0.00274744,0.0589202,-0.0196401,0.174453,-0.0582268,0.019592,0.00653581,0.0428619
RHC,MECShape2024AntiNu,3.31466,5.09995,8.46648,27.1468,0.152955,0.118821,2.46299,5.11566,-6.98463,-12.3395,0.617497,0.65877,7.57865
RHC,MECEnuShape2020AntiNu,0.185568,0.399822,2.88888,3.0186,0.104484,-0.172822,1.8112,-1.78972,-0.0283807,-0.56771,0.175519,0.290861,0.251436
RHC,MECInitStateNPFrac2020AntiNu,0.210985,0.0239575,0.762603,0.0847337,-0.0427785,0.0144152,0.816614,-0.272205,-3.04679,1.02586,0.106175,0.0357782,0.569564
RHC,MECShape2024Nu,0.11856,0.194653,0.246742,0.47673,0.0204622,0.0884366,0.393449,0.583427,0.0234231,2.5193,0.0733779,0.145764,1.03713
RHC,MECEnuShape2020Nu,0.022889,0.00827341,0.159046,0.0447576,0.00663858,-0.0234698,0.406712,-0.210777,0.270423,-0.425598,0.027041,0.0398186,0.195935
RHC,MECInitStateNPFrac2020Nu,0.0149169,0.00165503,0.0173359,0.00192621,-0.0142603,0.00475,-0.0544289,0.018143,-0.466125,0.155172,0.033823,0.0112662,0.0718893
