beam,syst,chi2_shape_up,chi2_shape_down,chi2_raw_up,chi2_raw_down,dmean_up,dmean_down,rate_change_pct_up,rate_change_pct_down,dvar_up,dvar_down,ks_pct_up,ks_pct_down,asymmetry_pct
FHC,MECShape2024Nu,17.4805,30.1023,51.9495,97.257,-0.00249204,0.00904581,6.79988,9.40423,-0.134525,-0.18395,1.20754,1.63027,16.2041
FHC,MECInitStateNPFrac2020Nu,15.8219,1.60142,23.0204,2.55782,0.013362,-0.00425104,-3.45698,1.15233,0.073495,-0.0234569,1.35763,0.43192,2.30884
FHC,MECEnuShape2020Nu,2.96673,2.45499,8.32496,6.37508,0.00328358,-0.00235564,2.73894,-2.41487,-0.0570908,0.0527976,0.505083,0.46792,0.325736
FHC,MECEnuShape2020AntiNu,2.82444,0.774939,3.08116,0.83549,-0.00746962,0.00385061,0.569407,-0.30713,0.00548998,-0.00267833,0.218798,0.1138,0.262277
FHC,MECShape2024AntiNu,0.645537,1.58816,0.718069,2.018,-0.00429982,-0.00592183,0.314479,0.765271,0.00145891,-0.00311992,0.187722,0.200176,1.07975
FHC,MECInitStateNPFrac2020AntiNu,1.44967,0.16162,1.46453,0.162726,-0.00495051,0.00165297,0.127066,-0.0423554,0.00959541,-0.00321481,0.178726,0.0596763,0.169164
RHC,MECShape2024AntiNu,8.8087,34.6378,14.7718,62.2817,0.0300682,0.078914,2.70666,5.62175,-0.00065685,0.0241204,1.36488,2.75662,8.32841
RHC,MECInitStateNPFrac2020AntiNu,12.4694,1.41895,13.2966,1.4774,-0.0163608,0.00551904,0.897402,-0.299134,-0.0460684,0.0154197,0.897293,0.302687,1.40303
RHC,MECEnuShape2020AntiNu,4.49268,4.79477,7.6366,7.50145,0.0204013,-0.0204293,1.99038,-1.96678,-0.00756794,0.00795498,1.01073,1.03906,0.0430742
RHC,MECShape2024Nu,0.547645,0.628937,0.696231,0.841136,0.010264,0.0115836,0.438419,0.524261,0.011333,0.0106382,0.305087,0.364511,0.96268
RHC,MECEnuShape2020Nu,0.232924,0.0789127,0.307251,0.0990158,0.00700349,-0.00389034,0.312123,-0.164996,0.00677185,-0.00436381,0.217474,0.115511,0.147127
RHC,MECInitStateNPFrac2020Nu,0.0573728,0.00635079,0.072122,0.00801355,-0.00261608,0.000870384,-0.14119,0.0470633,-0.000694602,0.000228064,0.0988215,0.0328785,0.0941266
