beam,syst,chi2_shape_up,chi2_shape_down,chi2_raw_up,chi2_raw_down,dmean_up,dmean_down,rate_change_pct_up,rate_change_pct_down,dvar_up,dvar_down,ks_pct_up,ks_pct_down,asymmetry_pct
FHC,ZNormCCQE,0.0800379,0.0827205,19.5018,10.9697,-0.236682,0.240615,17.6282,-13.2212,-7.47343,7.4828,0.371515,0.37769,4.40706
FHC,RPAShapesupp2020,0.0544063,0.0642362,1.1336,1.1336,-0.202914,0.220484,4.14981,-4.14981,-5.80975,6.21946,0.374186,0.406586,0
FHC,RPAShapeenh2020,0.0175781,0.00840829,0.465897,0.395084,0.0463998,-0.017844,2.67756,-2.49065,1.37738,-0.177662,0.111144,0.0628774,0.186904
FHC,ZExpAxialFFSyst2020_EV1,0.00811895,0.00753586,1.41767,1.23053,0.048307,-0.0418782,4.75146,-4.42829,0.533078,-0.325495,0.13779,0.126885,0.323166
FHC,ZExpAxialFFSyst2020_EV2,0.00732352,0.00677437,0.68788,0.61549,0.0608684,-0.0567805,3.30128,-3.12438,1.22727,-1.0921,0.145604,0.13866,0.176906
FHC,ZExpAxialFFSyst2020_EV3,0.00661175,0.00589959,0.318308,0.287069,0.0655224,-0.0613613,2.23391,-2.12365,1.64076,-1.54106,0.142479,0.134118,0.110257
FHC,ZExpAxialFFSyst2020_EV4,0.000157974,0.000162489,0.00233645,0.00238466,-0.0102734,0.0104028,-0.186871,0.188685,-0.286988,0.288644,0.0208041,0.0211029,0.00181335
RHC,ZNormCCQE,1.09826,1.13868,155.835,87.657,-0.340634,0.346846,17.7208,-13.2906,-10.4072,10.3585,0.533947,0.543683,4.43021
RHC,RPAShapesupp2020,0.295965,0.339436,6.08005,6.08005,-0.17338,0.185677,3.42471,-3.42471,-5.52656,5.85185,0.30993,0.331912,2.02434e-14
RHC,ZExpAxialFFSyst2020_EV1,0.0205381,0.0227031,11.6369,10.0978,-0.00642752,0.0121413,4.8616,-4.52845,-1.07305,1.27821,0.0413831,0.048745,0.333151
RHC,RPAShapeenh2020,0.0140727,0.0120464,3.23231,2.70987,0.00389103,0.00886625,2.55884,-2.34334,-0.236352,0.760571,0.0287232,0.0298913,0.2155
RHC,ZExpAxialFFSyst2020_EV3,0.0119697,0.00999151,2.64313,2.37922,0.0281678,-0.0253479,2.31372,-2.19597,0.729052,-0.623324,0.0645069,0.0588707,0.117751
RHC,ZExpAxialFFSyst2020_EV2,0.0110652,0.0106786,5.64956,5.05379,0.01514,-0.0118805,3.38715,-3.20377,-0.0627753,0.1921,0.049521,0.0443033,0.183387
RHC,ZExpAxialFFSyst2020_EV4,0.000417316,0.000430115,0.019492,0.0198905,-0.00593413,0.00600802,-0.197029,0.198993,-0.196122,0.197956,0.0116732,0.011864,0.00196476
