beam,syst,chi2_shape_up,chi2_shape_down,chi2_raw_up,chi2_raw_down,dmean_up,dmean_down,rate_change_pct_up,rate_change_pct_down,dvar_up,dvar_down,ks_pct_up,ks_pct_down,asymmetry_pct
FHC,RPAShapesupp2020,9.32612,11.6357,43.4434,42.6362,-0.713293,0.795859,4.71681,-4.63351,3.39679,-5.19578,1.08746,1.21739,0.0833051
FHC,ZNormCCQE,9.23066,8.12099,261.47,147.077,-0.698611,0.655275,12.9324,-9.69926,-2.07558,1.05966,1.07022,1.00383,3.23309
FHC,RPAShapeenh2020,0.499875,0.644034,12.5564,11.3038,-0.164825,0.187211,2.83833,-2.67631,0.0271045,-0.0437366,0.250701,0.285349,0.162021
FHC,ZExpAxialFFSyst2020_EV1,0.259213,0.279373,22.0442,19.6564,-0.0847683,0.0901823,3.8181,-3.60442,-1.8021,1.80046,0.167014,0.174674,0.213682
FHC,ZExpAxialFFSyst2020_EV2,0.0782702,0.0827907,10.9271,10.0182,-0.027644,0.0307155,2.69511,-2.58021,-1.30967,1.31921,0.0768709,0.0812793,0.114897
FHC,ZExpAxialFFSyst2020_EV3,0.0254266,0.0250935,5.13206,4.77712,0.0125939,-0.0105385,1.84926,-1.78423,-0.763446,0.776002,0.039689,0.0369035,0.0650298
FHC,ZExpAxialFFSyst2020_EV4,0.00106316,0.00107159,0.0408768,0.0413382,-0.00705456,0.00708473,-0.163307,0.164219,0.0591982,-0.0591558,0.0120012,0.0120455,0.00091191
RHC,ZNormCCQE,13.3373,12.1079,174.89,98.3755,-1.15706,1.10244,13.8467,-10.385,-21.467,17.9628,1.74495,1.66259,3.46168
RHC,RPAShapesupp2020,1.47747,1.68894,9.63977,9.63114,-0.380683,0.406936,3.13296,-3.12867,-6.82414,6.96962,0.594786,0.635842,0.00428432
RHC,ZExpAxialFFSyst2020_EV1,0.730788,0.758345,12.952,11.2821,-0.261014,0.266301,3.84681,-3.58714,-5.86648,5.80904,0.405598,0.413336,0.25967
RHC,ZExpAxialFFSyst2020_EV2,0.298297,0.305712,6.23431,5.59831,-0.165196,0.167398,2.6836,-2.54113,-3.82884,3.81301,0.257484,0.260865,0.142467
RHC,RPAShapeenh2020,0.141128,0.170047,4.60996,3.94897,-0.11153,0.121841,2.3299,-2.14616,-2.60913,2.88609,0.174056,0.190956,0.183741
RHC,ZExpAxialFFSyst2020_EV3,0.102249,0.102916,2.8639,2.59308,-0.0961484,0.0966227,1.83168,-1.74176,-2.22181,2.21358,0.14819,0.149341,0.0899254
RHC,ZExpAxialFFSyst2020_EV4,0.000339622,0.000344099,0.0204672,0.0208534,0.00494329,-0.00495483,-0.156484,0.157953,0.129585,-0.130276,0.00758049,0.00757725,0.00146854
