beam,syst,chi2_shape_up,chi2_shape_down,chi2_raw_up,chi2_raw_down,dmean_up,dmean_down,rate_change_pct_up,rate_change_pct_down,dvar_up,dvar_down,ks_pct_up,ks_pct_down,asymmetry_pct
FHC,RESDeltaScaleSyst,0.616408,0.687917,11.8103,11.8103,0.00539882,-0.00570338,2.74327,-2.74327,0.00893183,-0.00949902,0.259978,0.274644,3.07044e-13
FHC,MaCCRES,0.255906,0.452638,2.08445,3.91684,0.00346204,-0.00461588,1.10871,-1.53146,0.00585032,-0.00782547,0.165927,0.220642,0.422751
FHC,LowQ2RESSupp2020,0.384004,0,4.27765,0,-0.00389931,0,-1.62297,0,-0.00516114,0,0.223435,0,1.62297
FHC,MvCCRES,0.168503,0.172343,1.13983,1.20292,0.00280199,-0.00283977,0.808191,-0.834811,0.00486076,-0.00493355,0.131702,0.133276,0.0266204
FHC,MaNCRES,0.117974,0.102249,0.404534,0.366803,0.00222258,-0.00206095,0.438797,-0.423066,0.00310459,-0.00285332,0.120289,0.110105,0.0165474
FHC,Theta_Delta2Npi,0.0232886,0.0103644,0.0838886,0.0372838,0.000394858,0.000263415,0.201996,0.134664,-0.000121297,-8.08853e-05,0.0343133,0.0228909,0.355963
FHC,RESvpvnRatioNuXSecSyst,0.020158,0.0204389,0.197767,0.197767,-0.000819169,0.000824856,0.345944,-0.345944,-0.00102559,0.00103135,0.0500282,0.0503755,4.90657e-14
FHC,RESOtherScaleSyst,0.0189277,0.0190373,0.0498651,0.0498651,0.000865979,-0.000868482,0.144312,-0.144312,0.00118591,-0.00119084,0.0489313,0.0490727,0
FHC,MvNCRES,0.0127082,0.00967631,0.0463732,0.0354969,0.000758047,-0.000651496,0.150586,-0.13202,0.00119514,-0.000996222,0.0364609,0.0318137,0.018566
FHC,RESvpvnRatioNubarXSecSyst,0.000408639,0.000408479,0.000550342,0.000550342,-0.000132669,0.000132643,-0.00977814,0.00977814,-0.000247641,0.000247557,0.00614744,0.00614624,0
RHC,RESDeltaScaleSyst,0.257778,0.27566,2.52324,2.52324,0.00470585,-0.00486634,1.67663,-1.67663,0.00942712,-0.00979521,0.15868,0.164092,5.73532e-14
RHC,MaCCRES,0.0481804,0.0842041,0.430463,0.725894,0.00203442,-0.00262856,0.689461,-0.895089,0.00414464,-0.0055274,0.077572,0.0929569,0.205628
RHC,LowQ2RESSupp2020,0.083383,0,0.824071,0,-0.00260594,0,-0.961571,0,-0.0047951,0,0.0772122,0,0.961571
RHC,MvCCRES,0.0160915,0.0131925,0.152766,0.125374,0.00113293,-0.000984722,0.412409,-0.37398,0.00236653,-0.00219448,0.0471012,0.037846,0.0384294
RHC,RESvpvnRatioNubarXSecSyst,0.0145554,0.0144165,0.0606445,0.0606445,-0.00132827,0.00132191,-0.239786,0.239786,-0.00197258,0.00195964,0.0417619,0.0415621,1.1329e-14
RHC,MaNCRES,0.0123372,0.00667535,0.0617791,0.0445243,0.000246931,-0.000160668,0.248013,-0.217215,-0.000910292,0.000655903,0.032242,0.0246968,0.0345839
RHC,Theta_Delta2Npi,0.00665889,0.00295905,0.00708527,0.00314901,-0.00059239,-0.000394896,-0.023129,-0.0154193,-0.00140911,-0.000939253,0.0288801,0.0192519,0.106465
RHC,RESOtherScaleSyst,0.00103426,0.00103633,0.00302832,0.00302832,0.000181747,-0.000181928,0.0498256,-0.0498256,0.000504785,-0.000505355,0.00658304,0.0065896,0
RHC,RESvpvnRatioNuXSecSyst,0.000287707,0.000287922,0.000568083,0.000568083,-0.000146657,0.000146711,0.0186846,-0.0186846,-7.00278e-06,6.96236e-06,0.00903153,0.00903491,0
RHC,MvNCRES,0.000170951,0.000111586,0.000725265,0.000260442,-3.74071e-05,4.7939e-05,0.0262748,-0.0136183,-0.000192055,0.000138423,0.0029987,0.00370804,0.0126599
