beam,syst,chi2_shape_up,chi2_shape_down,chi2_raw_up,chi2_raw_down,dmean_up,dmean_down,rate_change_pct_up,rate_change_pct_down,dvar_up,dvar_down,ks_pct_up,ks_pct_down,asymmetry_pct
FHC,RESDeltaScaleSyst,5.53544,6.18527,17.3379,17.3379,0.539714,-0.570515,2.77428,-2.77428,1.2543,-1.95928,0.844886,0.893103,2.1321e-14
FHC,MaCCRES,0.940862,1.96383,2.88177,5.54843,0.221224,-0.319247,1.13386,-1.5626,0.743763,-1.28696,0.347541,0.501517,0.428744
FHC,LowQ2RESSupp2020,1.66162,0,5.60366,0,-0.298914,0,-1.63599,0,-0.216402,0,0.4742,0,1.63599
FHC,MvCCRES,0.52713,0.597186,1.568,1.68424,0.165152,-0.17553,0.831428,-0.857282,0.603478,-0.727156,0.25742,0.273893,0.0280948
FHC,RESvpvnRatioNuXSecSyst,0.117488,0.119103,0.292163,0.292163,0.0765349,-0.0770591,0.341259,-0.341259,0.379428,-0.393862,0.119157,0.119973,0
FHC,Theta_Delta2Npi,0.0883442,0.0393128,0.140516,0.0624516,0.0528336,0.0352442,0.186343,0.124229,0.347314,0.232306,0.0946678,0.063151,0.388503
FHC,MaNCRES,0.0387428,0.0310182,0.332863,0.305543,0.0408895,-0.0378896,0.443587,-0.429014,-0.173922,0.0492634,0.0718031,0.0626455,0.0287796
FHC,RESOtherScaleSyst,0.0180696,0.0181804,0.0529434,0.0529434,0.0289651,-0.0290537,0.152713,-0.152713,0.167888,-0.170087,0.0444485,0.0445845,0
FHC,MvNCRES,0.00567018,0.00419771,0.0407101,0.0311554,0.0161851,-0.014023,0.153159,-0.134401,0.0212029,-0.0251944,0.0259842,0.0225298,0.0187585
FHC,RESvpvnRatioNubarXSecSyst,9.00243e-05,8.99881e-05,0.000240709,0.000240709,-0.00181703,0.00181667,-0.0100469,0.0100469,0.025623,-0.0256245,0.00342916,0.00342847,0
RHC,RESDeltaScaleSyst,3.6106,3.88404,6.4808,6.4808,0.58268,-0.604341,1.82482,-1.82482,12.6232,-13.8098,0.88459,0.917474,2.48949e-14
RHC,LowQ2RESSupp2020,1.17114,0,2.00318,0,-0.332119,0,-1.02036,0,-7.22829,0,0.511859,0,1.02036
RHC,MaCCRES,0.648758,1.06589,1.14577,1.83544,0.245581,-0.317071,0.769705,-0.980558,5.45001,-7.15168,0.366518,0.472442,0.210853
RHC,MvCCRES,0.240988,0.183488,0.421264,0.321733,0.148539,-0.131232,0.46538,-0.412333,3.30793,-2.90966,0.221691,0.194766,0.0530469
RHC,RESvpvnRatioNubarXSecSyst,0.0867186,0.0857638,0.149203,0.149203,-0.0904278,0.0899287,-0.276764,0.276764,-2.02051,1.99314,0.135116,0.13437,0
RHC,MaNCRES,0.0297068,0.0212841,0.0780782,0.058187,0.0454738,-0.0403213,0.24222,-0.212141,1.04561,-0.756319,0.063047,0.058426,0.0491741
RHC,Theta_Delta2Npi,0.0248179,0.0110277,0.0257004,0.0114224,-0.00822038,-0.00547964,-0.0330687,-0.0220458,0.462506,0.308318,0.0437374,0.0291551,0.199965
RHC,RESOtherScaleSyst,0.0029692,0.00297528,0.00511822,0.00511822,0.0151169,-0.0151324,0.0510949,-0.0510949,0.272462,-0.273199,0.0228425,0.0228659,0
RHC,RESvpvnRatioNuXSecSyst,0.000862596,0.000863225,0.00113663,0.00113663,0.0069124,-0.00691492,0.0182482,-0.0182482,0.203999,-0.204169,0.0118148,0.0118191,0
RHC,MvNCRES,0.000652775,0.000786927,0.00119439,0.000932126,0.00387541,-0.00143088,0.0256611,-0.0133002,-0.0251793,0.10335,0.00947966,0.00679751,0.0123608
