beam,syst,chi2_shape_up,chi2_shape_down,chi2_raw_up,chi2_raw_down,dmean_up,dmean_down,rate_change_pct_up,rate_change_pct_down,dvar_up,dvar_down,ks_pct_up,ks_pct_down,asymmetry_pct
FHC,RESDeltaScaleSyst,17.1848,19.7923,27.0475,27.0475,0.0463734,-0.0497675,3.53026,-3.53026,0.044987,-0.0530643,1.83676,1.97119,1.46152e-13
FHC,LowQ2RESSupp2020,8.6952,0,11.9926,0,-0.0334215,0,-2.31011,0,-0.035287,0,1.31941,0,2.31011
FHC,MaCCRES,3.67894,7.12746,5.75618,10.293,0.0187829,-0.0273639,1.67943,-2.24254,0.0230807,-0.0333043,0.797419,1.13532,0.563109
FHC,MvCCRES,2.18677,2.34814,3.38631,3.45209,0.0140568,-0.0150966,1.28491,-1.29693,0.0187103,-0.0198108,0.605902,0.639395,0.0431111
FHC,MaNCRES,2.11438,1.84647,2.60508,2.23554,-0.00182773,0.000820295,0.811792,-0.776699,0.0106134,-0.0110428,0.37328,0.336894,0.0684504
FHC,RESvpvnRatioNuXSecSyst,0.605874,0.609772,0.625616,0.625616,0.00713008,-0.00715298,0.160335,-0.160335,0.00218133,-0.0022905,0.253743,0.254558,1.97059e-14
FHC,Theta_Delta2Npi,0.212388,0.0945707,0.267806,0.119025,0.00656067,0.00437785,0.279873,0.186582,0.00673425,0.00450324,0.178088,0.118836,0.606659
FHC,MvNCRES,0.211709,0.158138,0.262967,0.195627,-0.000354989,0.000225572,0.26906,-0.234996,0.00339039,-0.00297897,0.115383,0.0985803,0.0340653
FHC,RESOtherScaleSyst,0.183777,0.186063,0.251065,0.251065,0.0016926,-0.0017031,0.309115,-0.309115,0.00605911,-0.00610247,0.0970757,0.0976777,0
FHC,RESvpvnRatioNubarXSecSyst,0.00128216,0.00128101,0.00162862,0.00162862,2.30293e-06,-2.3019e-06,-0.0223891,0.0223891,-0.000407006,0.000406823,0.00697036,0.00696724,0
RHC,RESDeltaScaleSyst,11.4199,12.3078,14.4717,14.4717,0.0412441,-0.0428175,1.87166,-1.87166,0.0973204,-0.104632,1.03639,1.07593,6.07951e-15
RHC,LowQ2RESSupp2020,3.92454,0,4.65085,0,-0.0248942,0,-1.03898,0,-0.0636281,0,0.599376,0,1.03898
RHC,MaCCRES,2.16581,3.50333,2.67703,4.19424,0.0175629,-0.0223306,0.79815,-1.00881,0.0419737,-0.0520324,0.450745,0.578282,0.210665
RHC,MvCCRES,0.848801,0.646746,1.03025,0.773987,0.010678,-0.00923985,0.481279,-0.42116,0.0259986,-0.0212939,0.276506,0.244249,0.0601535
RHC,MaNCRES,0.366692,0.306405,0.401421,0.331365,0.00476418,-0.00391378,0.210623,-0.186809,0.0131827,-0.010026,0.138078,0.122955,0.0335825
RHC,RESvpvnRatioNubarXSecSyst,0.309601,0.305661,0.384306,0.384306,-0.00606461,0.00602589,-0.320187,0.320187,-0.0121881,0.0120374,0.168776,0.167698,0
RHC,Theta_Delta2Npi,0.15376,0.0683319,0.153848,0.0683771,0.00218311,0.00145534,-0.0131136,-0.00874237,0.00928521,0.00619093,0.0862653,0.0575077,0.296209
RHC,RESOtherScaleSyst,0.010552,0.0105712,0.0121071,0.0121071,0.00108762,-0.00108861,0.0454545,-0.0454545,0.00234054,-0.00234504,0.0298479,0.029875,0
RHC,MvNCRES,0.00752073,0.00381354,0.0080026,0.00398462,0.000440489,-0.000191648,0.025281,-0.0151743,0.000953087,-0.000173251,0.0166042,0.0099703,0.0101657
RHC,RESvpvnRatioNuXSecSyst,0.00298808,0.00298856,0.00300035,0.00300035,0.000265864,-0.000265885,0.0040107,-0.0040107,0.000955892,-0.00095611,0.00851953,0.00852021,0
