beam,spectrum,chi2_shape_up,chi2_shape_down,chi2_raw_up,chi2_raw_down,dmean_up,dmean_down,rate_change_pct_up,rate_change_pct_down
FHC,Visible Neutrons,1.71944,2.80607,222.295,222.295,-0.00716341,0.00915116,12.1839,-12.1839
FHC,GENIE Neutrons,4.30795,7.14629,237.565,237.565,-0.0118484,0.0152603,12.5862,-12.5862
FHC,Neutron-Like Prongs per event,4.16464,6.78825,224.135,224.135,-0.0118565,0.0151372,12.1537,-12.1537
FHC,HadVisE [MeV],1.28441,2.12685,91.5744,91.5744,-0.350177,0.450613,12.5422,-12.5422
FHC,FSI Topology Bin,14.637,31.4812,225.284,225.284,-0.0153622,0.0225296,18.9154,-18.9154
RHC,Visible Neutrons,0.484918,0.792313,120.356,120.356,-0.000331256,0.000423426,12.2131,-12.2131
RHC,GENIE Neutrons,2.62528,4.50483,145.91,145.91,0.0097752,-0.0128049,13.4177,-13.4177
RHC,Neutron-Like Prongs per event,1.39697,2.27935,121.543,121.543,-0.0137325,0.0175412,12.1788,-12.1788
RHC,HadVisE [MeV],2.44945,4.25685,137.473,137.473,-0.477298,0.629216,13.7294,-13.7294
RHC,FSI Topology Bin,1.45974,2.87154,202.018,202.018,0.0130498,-0.0183032,16.7553,-16.7553
